Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count
ENSDARG00000089086	2.870608305400218e-28	5.551278027926454e-25	2.1216682951797354	11	18249809	18253111	-1	protein_coding	mustn1b	musculoskeletal, embryonic nuclear protein 1b [Source:ZFIN;Acc:ZDB-GENE-111129-2]	128	179	571	122	890	166	544	244	432	146	325	441	144.5394163418568	145.95553892005194	547.5503328542003	154.5307245223981	751.492322986185	122.95857395611877	548.3520204737857	175.42259221202167	618.3374846607538	151.51676753904633	338.10309079671043	523.1129215341861
ENSDARG00000055618	9.550405900584687e-27	1.7048209179151403e-23	-1.3918955866230946	13	24279021	24284442	1	protein_coding	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]	14933	17816	5819	16337	8048	19557	6594	23423	4007	16724	6657	4583	16862.5555018199	14527.060789942152	5580.02694724797	20693.183987888668	6795.517095946985	14486.149583492861	6646.752248169381	16839.84990730403	5735.366437582501	17355.934385774046	6925.391616719081	5436.341313812187
ENSDARG00000058206	1.0769996151050193e-24	1.785203790580506e-21	1.4967207802519957	14	11457500	11461002	1	protein_coding	si:ch211-153b23.5	si:ch211-153b23.5 [Source:ZFIN;Acc:ZDB-GENE-030131-9744]	417	532	1183	338	1622	622	1282	676	1203	438	1013	1371	470.8823173012053	433.78964639926045	1134.4168892583518	428.12610564402087	1369.5736493074066	460.7242951849752	1292.2560482488848	486.0068538333059	1721.8981343677935	454.550302617139	1053.8413260832851	1626.2762254498164
ENSDARG00000075263	6.068726108513557e-24	9.38872387161104e-21	1.976413691316527	17	23462972	23472265	1	protein_coding	ankrd1a	ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-100405-1]	41	67	195	47	268	55	173	59	70	51	106	108	46.297781797001	54.631402835997086	186.99179493269537	59.532328299612374	226.29207029246916	40.739286551726096	174.38400651096495	42.417757952906875	100.19357390336289	52.927090030762756	110.27362345985017	128.10928690633128
ENSDARG00000097157	1.2425035948429194e-23	1.8020961513702992e-20	2.3324657925266243	15	29593547	29598679	-1	protein_coding	si:ch211-207n23.2	si:ch211-207n23.2 [Source:ZFIN;Acc:ZDB-GENE-131121-310]	202	296	1071	119	1318	209	783	125	717	166	594	823	228.10126641449273	241.35664536500207	1027.0164737072653	150.73078867348664	1112.8841367368448	154.80928889655917	789.2640294687027	89.86813125615863	1026.2684641244455	172.2724891197376	617.9484182561415	976.2402141102837
ENSDARG00000073820	5.54069387999812e-22	7.563373069366845e-19	3.349683605727362	14	11504504	11507426	-1	protein_coding	zgc:174917	zgc:174917 [Source:ZFIN;Acc:ZDB-GENE-070928-42]	36	9	149	10	299	23	184	36	144	24	210	210	40.65171084614722	7.3385466496115495	142.88090997421338	12.66645282970476	252.4676455874936	17.036428921630915	185.47200692495696	25.882021801773686	206.11249488691794	24.906865896829533	218.4666125147975	249.10139120675524
ENSDARG00000056210	1.5439033044341842e-21	1.990434449038871e-18	2.9725372242713965	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	17	34	180	14	189	22	146	36	121	16	78	69	19.196641232902856	27.723398454088077	172.6078107071034	17.733033961586663	159.5865719599876	16.29571462069044	147.1680054948028	25.882021801773686	173.191749175813	16.604577264553022	81.1447417912105	81.84759996793386
ENSDARG00000117266	2.5849966136004408e-21	3.1572332323795702e-18	3.7542757169626326	12	46071521	46083500	-1	lincRNA	FO904966.1	NA	10	27	190	4	182	6	105	4	55	3	53	55	11.292141901707561	22.015639948834647	182.1971335241647	5.066581131881904	153.67595818369176	4.444285805642847	105.84000395174174	2.8757802001970765	78.72352235264226	3.1133582371036916	55.136811729925086	65.24084055415018
ENSDARG00000074390	1.8789088739018367e-20	2.1800979663883012e-17	1.2676205312960365	16	46649469	46664465	-1	protein_coding	tmem176l.4	transmembrane protein 176l.4 [Source:ZFIN;Acc:ZDB-GENE-030131-3532]	963	1203	2465	788	2886	1118	2207	1093	1768	1064	1915	2324	1087.4332651344382	980.9190688314104	2363.7680744056106	998.1164829807351	2436.861622627112	828.1185884514505	2224.6560830618478	785.8069397038511	2530.603409444937	1104.204388092776	1992.207442694463	2756.7220626880912
ENSDARG00000075048	6.382153117716991e-20	7.052583107130499e-17	-0.9351963767858177	14	34068075	34092744	1	protein_coding	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-101021-4]	1734	1954	1015	1303	1122	2587	864	1781	656	1512	884	750	1958.0574057560912	1593.2800170378853	973.316265931722	1650.4388037105302	947.3869510005612	1916.2278965330077	870.9120325171891	1280.4411341377483	938.956921151515	1569.1325515002607	919.6404069670524	889.6478257384116
ENSDARG00000036371	1.2470178138631445e-19	1.315377063114006e-16	-1.2953365990169596	1	53945934	53953532	1	protein_coding	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]	3033	3234	1193	2419	1310	3480	1315	4777	743	2343	762	785	3424.9066387879034	2636.9844294270833	1144.0062120754133	3064.0149395055814	1106.1291495639352	2577.6857672728515	1325.5200494908609	3434.4005040853585	1063.4832201456945	2431.532783177983	792.7217082679796	931.1647242728708
ENSDARG00000068951	4.1485741263427157e-19	4.1857309206916983e-16	4.1624235807454495	18	15758375	15768336	1	protein_coding	si:ch211-219a15.4	si:ch211-219a15.4 [Source:ZFIN;Acc:ZDB-GENE-060503-308]	8	14	187	9	242	7	105	7	143	13	46	123	9.03371352136605	11.415517010506855	179.3203366790463	11.399807546734284	204.3383619805132	5.185000106583321	105.84000395174174	5.032615350344884	204.68115811686988	13.49121902744933	47.85459131276517	145.9022434210995
ENSDARG00000074749	9.848879086506135e-19	9.523045336727556e-16	-0.5749254431602384	9	40685613	40765868	-1	protein_coding	abca12	ATP-binding cassette, sub-family A (ABC1), member 12 [Source:ZFIN;Acc:ZDB-GENE-030131-9790]	1440	1989	1125	1299	1303	2180	1088	2013	984	1543	1278	1089	1626.0684338458889	1621.8188095641524	1078.7988169193964	1645.3722225786485	1100.2185357876392	1614.7571760502344	1096.7040409475715	1447.2363857491787	1408.4353817272724	1601.303919950332	1329.5253847329107	1291.7686429721737
ENSDARG00000079111	2.9438803286256226e-18	2.6835118166164878e-15	-1.1946503135286448	25	14087045	14125498	1	protein_coding	actc1c	actin alpha cardiac muscle 1c [Source:ZFIN;Acc:ZDB-GENE-040625-46]	1479	2106	695	1314	858	1729	677	2030	302	1429	646	510	1670.1077872625483	1717.2199160091025	666.4579357857604	1664.3719018232055	724.4723742945469	1280.6950263260803	682.4160254793253	1459.4584516000164	432.2637045545084	1482.9963069403918	672.0449127836152	604.9605215021198
ENSDARG00000104899	3.006606361804218e-18	2.6835118166164878e-15	7.854759853831062	8	7828414	7848287	1	processed_transcript	CR931813.2	NA	0	1	144	1	308	1	90	2	173	3	349	152	0	0.815394072179061	138.08624856568272	1.266645282970476	260.0670061570168	0.7407143009404745	90.7200033872072	1.4378901000985382	247.62126121831113	3.1133582371036916	363.07070365554443	180.3019593496514
ENSDARG00000077982	5.176323228228943e-18	4.448953956825217e-15	1.5609894183837434	22	661505	665371	1	protein_coding	elf3	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:ZFIN;Acc:ZDB-GENE-030131-8760]	343	280	975	269	1141	375	815	263	519	250	709	882	387.3204672285693	228.3103402101371	934.9589746634769	340.7275811190581	963.4300455362214	277.7678628526779	821.520030673043	189.08254816295778	742.8637836549334	259.446519758641	737.5848965380545	1046.2258430683721
ENSDARG00000093316	7.143493617305406e-17	5.920425460113903e-14	1.562341001903735	20	35719375	35750810	-1	protein_coding	adgrf8	adhesion G protein-coupled receptor F8 [Source:ZFIN;Acc:ZDB-GENE-130531-41]	65	79	188	45	259	91	181	51	109	42	132	173	73.39892236109915	64.41613170214582	180.27926896075246	56.99903773367142	218.69270972294595	67.40500138558318	182.44800681205004	36.66619755251272	156.0157079352365	43.58701531945168	137.321870723587	205.21209847032694
ENSDARG00000109626	9.559879687361993e-17	7.649881656031808e-14	2.6663064852894216	12	46283843	46315898	-1	protein_coding	si:ch211-226h7.3	si:ch211-226h7.3 [Source:ZFIN;Acc:ZDB-GENE-130531-9]	26	62	179	29	199	22	289	17	172	25	230	287	29.35956894443966	50.554432475101784	171.64887842539727	36.732713206143806	168.0303059261245	16.29571462069044	291.3120108766987	12.222065850837575	246.18992444826307	25.944651975864097	239.27295656382586	340.4385679825655
ENSDARG00000054160	2.898045003530599e-16	2.241734411731036e-13	3.821890212716725	10	40786196	40819136	-1	protein_coding	zgc:113625	zgc:113625 [Source:ZFIN;Acc:ZDB-GENE-050320-47]	8	3	127	11	118	7	83	2	54	5	41	107	9.03371352136605	2.446182216537183	121.78439977667851	13.933098112675236	99.63606080041554	5.185000106583321	83.66400312375775	1.4378901000985382	77.29218558259423	5.18893039517282	42.653005300508084	126.92308980534672
ENSDARG00000036840	3.1209930523586853e-16	2.3363149926785695e-13	-0.9072526626560219	11	11515778	11518469	-1	protein_coding	krt15	keratin 15 [Source:ZFIN;Acc:ZDB-GENE-040426-2931]	4574	7662	3038	4059	3833	7943	2802	7226	3069	4342	3257	2918	5165.025705841039	6247.549381035966	2913.236271823223	5141.313203577162	3236.4832292202773	5883.493692370189	2824.416105455051	5195.096931656019	4392.772547277438	4506.067155168076	3388.3131283842645	3461.3231406729133
ENSDARG00000102758	3.7235544370146285e-16	2.700275133292546e-13	2.332815828736221	8	52479026	52490474	1	protein_coding	FO704661.1	gamma-glutamyl hydrolase [Source:NCBI gene;Acc:553228]	34	39	162	24	192	33	150	29	121	44	85	141	38.39328246580571	31.80036881498338	155.34702963639307	30.399486791291423	162.11969214982867	24.44357193103566	151.20000564534533	20.849406451428802	173.191749175813	45.66258747752081	88.42696220837043	167.25379123882138
ENSDARG00000036767	4.2086474635615926e-16	2.88047013357338e-13	3.4897731136502386	19	7682109	7690975	-1	protein_coding	urgcp	upregulator of cell proliferation [Source:ZFIN;Acc:ZDB-GENE-120215-160]	71	72	650	76	850	24	764	42	383	25	518	485	80.17420750212368	58.708373196892396	623.3059831089845	96.26504150575617	717.7173871216373	17.77714322257139	770.1120287536256	30.1956921020693	548.2019829283997	25.944651975864097	538.8843108698338	575.3055939775062
ENSDARG00000062221	4.2202871904462176e-16	2.88047013357338e-13	1.3265575257374134	5	23888314	23909934	-1	protein_coding	arap1a	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1a [Source:ZFIN;Acc:ZDB-GENE-030131-6226]	127	205	426	124	416	152	325	152	272	129	280	298	143.41020215168604	167.1557847967075	408.5051520068114	157.06401508833903	351.2593329912954	112.58857374295212	327.60001223158156	109.2796476074889	389.3236014530672	133.87440419545874	291.2888166863967	353.48673609339556
ENSDARG00000117818	6.460927578841845e-16	4.283779582702968e-13	1.7748365821539502	7	936128	964628	1	lincRNA	CR926130.2	NA	87	90	338	69	246	88	292	71	162	57	241	317	98.24163454485578	73.3854664961155	324.11911121667197	87.39852452496285	207.71585556696797	65.18285848276176	294.3360109896056	51.04509855349811	231.87655674778267	59.15380650497014	250.71644579079143	376.02448101210194
ENSDARG00000076914	8.03020371075109e-16	5.176358536435827e-13	2.0311222281911756	9	18572970	18587754	1	protein_coding	lacc1	laccase (multicopper oxidoreductase) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-155]	22	27	127	20	102	40	105	29	62	18	72	95	24.842712183756635	22.015639948834647	121.78439977667851	25.33290565940952	86.12608645459648	29.62857203761898	105.84000395174174	20.849406451428802	88.74287974297856	18.68014942262215	74.902838576502	112.68872459353213
ENSDARG00000041065	1.2052450132928473e-15	7.559166426614544e-13	1.3595124929567877	5	3568016	3584815	-1	protein_coding	hspb1	heat shock protein, alpha-crystallin-related, 1 [Source:NCBI gene;Acc:368243]	467	426	1186	315	1458	565	876	547	596	248	680	598	527.3430268097432	347.35787474828	1137.2936861034702	398.9932641357	1231.0964122627613	418.5035800313681	883.0080329688168	393.2629423769502	853.0767149486326	257.37094760057187	707.4156976669634	709.3458663887602
ENSDARG00000077301	1.8916986576995082e-15	1.1552305013309156e-12	1.0787328054861636	15	1148074	1162658	1	protein_coding	mlf1	myeloid leukemia factor 1 [Source:ZFIN;Acc:ZDB-GENE-080917-7]	342	547	907	380	1409	669	800	580	658	439	830	745	386.1912530383986	446.0205574819464	869.75157950746	481.3252075287809	1189.7221158286904	495.53786732917746	806.4000301085085	416.98812902857605	941.8195946916111	455.58808869617354	863.4632780346759	883.7168402334888
ENSDARG00000076839	2.5550059102206208e-15	1.5202940295533262e-12	1.5117470124392292	15	509126	516750	1	protein_coding	ftr86	finTRIM family, member 86 [Source:ZFIN;Acc:ZDB-GENE-060929-108]	65	96	243	60	202	81	208	139	141	103	127	126	73.39892236109915	78.27783092918986	233.0205444545896	75.99871697822856	170.56342611596557	59.997858376178435	209.6640078282122	99.9333619568484	201.8184845767738	106.89196614056009	132.12028471132993	149.46083472405314
ENSDARG00000052515	5.428201588046314e-15	3.149171151305069e-12	1.7693179714085203	12	20641102	20652923	1	protein_coding	calcoco2	calcium binding and coiled-coil domain 2 [Source:ZFIN;Acc:ZDB-GENE-050522-346]	62	87	261	68	411	117	202	114	184	86	147	141	70.01127979058688	70.93928427957832	250.28132552529993	86.13187924199237	347.037466008227	86.66357321003552	203.61600760239838	81.95973570561668	263.3659656888396	89.2496027969725	152.92662876035826	167.25379123882138
ENSDARG00000091131	6.519098770969032e-15	3.6147186386338055e-12	-0.8155336830687965	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]	408	626	282	365	344	678	263	688	210	498	312	220	460.7193895896685	510.4366891840922	270.4189034411287	462.32552828422376	290.4644484351097	502.2042960376417	265.10400989817214	494.6341944338971	300.58072171008865	516.8174673592129	324.578967164842	260.96336221660073
ENSDARG00000101040	6.542195243584411e-15	3.6147186386338055e-12	4.687620548696628	2	45191049	45193014	1	protein_coding	ccl20a.3	chemokine (C-C motif) ligand 20a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081022-193]	3	2	62	2	73	2	44	1	33	0	26	60	3.3876425705122686	1.630788144358122	59.45380146578006	2.533290565940952	61.63925795279944	1.481428601880949	44.35200165596797	0.7189450500492691	47.23411341158536	0	27.048247263736837	71.17182605907293
ENSDARG00000099197	7.89826061319304e-15	4.262489204412969e-12	-0.6288898962465125	17	117024	125091	-1	protein_coding	actc1b	actin alpha cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]	242224	397097	200956	233386	232060	426059	195926	411210	155713	252423	227643	169404	273522.77799992124	323790.5398800886	192703.19560253707	295617.27601134754	195945.29041817313	315587.9943443976	197493.41537379954	295637.3940307599	222877.74247449063	261961.07542814172	236820.92891764786	200946.5336951865
ENSDARG00000038583	8.8551891730335e-15	4.670307271577622e-12	1.0188270910920212	6	52064304	52072829	1	protein_coding	abraa	actin binding Rho activating protein a [Source:ZFIN;Acc:ZDB-GENE-120730-1]	421	724	1194	511	1524	796	1058	967	854	498	1142	849	475.39917406188835	590.3453082576402	1144.9651443571192	647.2557395979132	1286.825056439265	589.6085835486177	1066.4640398185024	695.2198633976432	1222.3616016210271	516.8174673592129	1188.042245199518	1007.0813387358819
ENSDARG00000009341	9.072556025002378e-15	4.6786163359156705e-12	0.8858562455992617	12	30586599	30618440	1	protein_coding	nrap	nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224]	826	1360	1822	813	2376	1089	1603	1023	1038	697	1251	1182	932.7309210810446	1108.935938163523	1747.174617268569	1029.782615054997	2006.2311903541297	806.6378737241768	1615.824060329924	735.4807862004022	1485.7275673098668	723.3368970870911	1301.4368202667224	1402.0849733637367
ENSDARG00000076146	2.4900663236771357e-14	1.2561843284185131e-11	1.742841036771361	7	2244859	2249885	1	protein_coding	zgc:172075	zgc:172075 [Source:ZFIN;Acc:ZDB-GENE-080215-3]	48	43	135	33	202	57	130	58	94	72	151	119	54.2022811281963	35.06194510369962	129.45585803032756	41.79929433802571	170.56342611596557	42.220715153607046	131.04000489263262	41.698812902857604	134.54565638451587	74.7205976904886	157.08789757016393	141.1574550171613
ENSDARG00000028731	4.7704348982164026e-14	2.355376856340635e-11	1.4530360027843308	9	41156287	41208343	1	protein_coding	stat4	signal transducer and activator of transcription 4 [Source:ZFIN;Acc:ZDB-GENE-030616-264]	107	150	305	96	462	142	277	150	218	122	236	360	120.8259183482709	122.30911082685915	292.47434592036967	121.59794716516569	390.10050923552524	105.18143073354739	279.21601042507103	107.84175750739037	312.031415870473	126.6099016422168	245.51485977853434	427.03095635443754
ENSDARG00000098256	5.188731438961131e-14	2.4809182977645482e-11	1.7481154649684394	12	43730276	43819253	-1	protein_coding	si:ch73-329n5.6	si:ch73-329n5.6 [Source:ZFIN;Acc:ZDB-GENE-131121-171]	156	346	1064	238	614	336	996	278	721	328	917	868	176.15741366663795	282.12634897395515	1020.3039477353224	301.4615773469733	518.4452655208063	248.88000511599944	1003.9680374850931	199.8667239136968	1031.9938112046377	340.39383392333696	953.9708746479491	1029.6190836545884
ENSDARG00000018566	5.238515754135261e-14	2.4809182977645482e-11	2.101631643258392	25	35019693	35041057	1	protein_coding	flnca	filamin C, gamma a (actin binding protein 280) [Source:ZFIN;Acc:ZDB-GENE-070503-1]	613	833	2844	458	4638	921	1821	1408	1396	650	1193	1125	692.2082985746736	679.2232621251578	2727.203409172234	580.123539600478	3916.2038134942986	682.197871166177	1835.5680685344923	1012.2746304693709	1998.1461309870656	674.5609513724665	1241.0984225245402	1334.4717386076175
ENSDARG00000026771	8.377541489679494e-14	3.8881845561900466e-11	1.3344498755277594	1	30422143	30438036	1	protein_coding	tmem41ab	transmembrane protein 41ab [Source:NCBI gene;Acc:406356]	116	271	384	142	663	241	416	214	249	143	282	272	130.9888460598077	220.97179356052553	368.22999617515393	179.8636301818076	559.8195619548771	178.51214652665436	419.3280156564244	153.8542407105436	356.40285574196224	148.40340930194265	293.36945109129954	322.64561146779727
ENSDARG00000004748	1.0053647225318236e-13	4.574606617857548e-11	1.5044883855986322	3	39472342	39488639	-1	protein_coding	zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]	1017	1621	3150	836	3888	1184	3047	1319	2360	1447	2195	3890	1148.410831403659	1321.753791002258	3020.6366873743095	1058.915456563318	3282.9237660340305	877.0057323135218	3071.3761146757815	948.2885210149859	3377.9547773133772	1501.676456363014	2283.4962593808596	4614.306722829895
ENSDARG00000099002	1.151942487639089e-13	5.140764878490904e-11	2.0523611579744787	19	19496479	19505167	-1	protein_coding	creb5a	cAMP responsive element binding protein 5a [Source:ZFIN;Acc:ZDB-GENE-120827-2]	20	29	88	11	97	29	91	26	60	11	51	53	22.584283803415122	23.64642809319277	84.38604079013945	13.933098112675236	81.90421947152802	21.48071472727376	91.72800342484284	18.692571301280996	85.88020620288248	11.415646869380202	53.056177325022254	62.86844635218109
ENSDARG00000034503	1.760097743177679e-13	7.706571363807777e-11	-1.0054005636113368	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	3917	6151	2640	3646	2665	7118	2422	5005	1565	4842	3010	1880	4423.131982898852	5015.488937973404	2531.5812237041832	4618.188701710355	2250.2551019754865	5272.4043940942975	2441.3760911535096	3598.3199754965917	2240.0420451251844	5024.960194685358	3131.3547793787643	2230.050549850952
ENSDARG00000078696	2.7677806281570325e-13	1.1894280973520758e-10	0.7744984058405889	12	26408351	26430507	-1	protein_coding	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]	355	556	696	376	997	579	739	616	416	383	566	454	400.8710375106184	453.35910413155796	667.4168680674666	476.258626396899	841.8402764238499	428.87358024453476	744.9120278127347	442.87015083034976	595.4360963399852	397.47206827023797	588.8195365875018	538.5334838469852
ENSDARG00000053761	4.865828441202249e-13	2.0530257237552616e-10	1.7009191923972278	7	2228276	2234151	1	protein_coding	si:dkey-187j14.4	si:dkey-187j14.4 [Source:ZFIN;Acc:ZDB-GENE-131119-26]	69	62	235	62	267	77	184	54	100	30	129	204	77.91577912178218	50.554432475101784	225.34908620094058	78.53200754416952	225.44769689585547	57.035001172416536	185.47200692495696	38.823032702660534	143.13367700480413	31.133582371036916	134.20091911623277	241.98420860084795
