Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_het_3 count	srpk3_hom_ttnb_wt_4 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_7 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_1 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count
ENSDARG00000099197	1.2394619792136634e-20	1.5025377843017634e-17	-0.552263962560636	17	117024	125091	-1	protein_coding	actc1b	actin alpha cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]	242224	397097	200956	192715	174474	233386	153064	263142	323366	232060	426059	195926	209883	411210	155713	252423	268352	310544	274700	149463	206084	227643	169404	259906.7090737544	307655.3987551978	183289.6474037524	285774.6452677641	189902.537210559	281246.79527232464	194413.7170119544	189844.2112513323	239753.73050575313	186194.87640327425	300021.4526963874	187967.2068930052	200522.1782840591	281012.54523998033	212086.0630425512	248810.4831316439	320812.42251559236	299952.7453828155	295374.6106388732	195839.94099348763	206760.13098749972	225231.32938068866	191335.37469543162
ENSDARG00000052515	2.3828803879242963e-19	2.751092143105932e-16	1.5352651166920674	12	20641102	20652923	1	protein_coding	calcoco2	calcium binding and coiled-coil domain 2 [Source:ZFIN;Acc:ZDB-GENE-050522-346]	62	87	261	76	279	68	186	267	145	411	117	202	264	114	184	86	70	115	101	160	283	147	141	66.5260913971067	67.40423546816574	238.05508654819653	112.69944239083658	303.67165240520626	81.94485564051861	236.24726496252234	192.6275714409168	107.5075639471503	329.7685693430394	82.38884747294937	193.79447236398974	252.225549791987	77.90527992353726	250.6138575445173	84.76922288904488	83.68437565619584	111.07786889788171	108.60151319448923	209.64647142743036	283.92848095661196	145.44266864766865	159.25413704549987
ENSDARG00000078696	4.638378489474217e-19	5.111703930786472e-16	0.6735945073266792	12	26408351	26430507	-1	protein_coding	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]	355	556	696	289	566	376	416	994	538	997	579	739	655	616	416	383	300	402	351	425	522	566	454	380.9155233221432	430.7672979344845	634.813564128524	428.5544585651549	616.0507357037518	453.10684883580876	528.3809797011252	717.1228689598175	398.89013381770246	799.9495465572027	407.7191682635699	708.9807677078635	625.7868754308769	420.961863446482	566.605243144126	377.51874844772317	358.6473242408393	388.2895938865082	377.41713991352196	556.8734397291119	523.7126044500052	560.0037445889827	512.7757320472124
ENSDARG00000043701	5.658434590020727e-19	5.718420249192601e-16	1.5854825236259598	8	7033049	7052493	1	protein_coding	gpd1a	glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]	117	85	347	118	268	57	271	474	90	440	232	350	344	104	301	73	60	80	49	251	360	449	332	125.54117247518522	65.85471281372514	316.49469361005436	174.98071318577257	291.6989349268648	68.68907016925824	344.2097247572234	341.9680481760096	66.72883279478295	353.03691121882565	163.36933857883974	335.7825016207743	328.6575345774376	71.07148343901645	409.97158217880275	71.95527059186368	71.72946484816786	77.27156097243945	52.687862836930414	328.88290205178134	361.1811065172449	444.2432532163484	374.98137233408477
ENSDARG00000100872	5.660634604273971e-19	5.718420249192601e-16	1.9170368348879963	24	9298198	9299478	1	protein_coding	otud1	OTU deubiquitinase 1 [Source:ZFIN;Acc:ZDB-GENE-170421-2]	33	81	215	40	223	47	165	293	57	267	68	133	141	69	293	56	49	61	81	135	284	138	204	35.40904864684712	62.75566750484396	196.09901765464465	59.315495995177145	242.71963615183154	56.638356104476095	209.57418666030208	211.3853124801072	42.26159410336253	214.22921658051465	47.88411648000476	127.59735061589423	134.7113731843567	47.153195743193606	399.07532750295417	55.198563741703644	58.57906295933709	58.91956524148508	87.0962630569666	176.88921026689437	284.9317618080488	136.5380154651583	230.41024083178704
ENSDARG00000009341	2.0080889839273936e-18	1.947444696612786e-15	1.1104519116050426	12	30586599	30618440	1	protein_coding	nrap	nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224]	826	1360	1822	740	2178	813	1723	3006	1001	2376	1089	1603	2168	1023	1038	697	714	955	976	1524	1602	1251	1182	886.2992176453248	1053.6754050196023	1661.8251635663373	1097.336675910777	2370.5980607116103	979.7230534667887	2188.4625673678815	2168.6834447617825	742.1729069730859	1906.3993205816585	766.8500418636056	1537.8838574231463	2071.3067876857112	699.0973803664791	1413.789044191353	687.0249808565615	853.5806316931976	922.4292591084959	1049.4562067111037	1996.8826403462742	1607.25592400174	1237.7467923689353	1335.0240424665308
ENSDARG00000039486	2.4007429544229666e-17	2.2386928049994165e-14	1.0749173690625624	13	25486608	25498661	1	protein_coding	bag3	BCL2 associated athanogene 3 [Source:ZFIN;Acc:ZDB-GENE-040801-40]	184	327	455	182	449	139	350	835	286	537	272	370	450	296	337	285	186	247	275	294	321	348	393	197.43227124302635	253.34695400103675	415.0002466644805	269.885506778056	488.7045588886653	167.50492550047184	444.5513050370044	602.412067989384	212.04940199231024	430.8655030102486	191.53646592001903	354.9700731419614	429.9299144181596	202.28037594181603	459.0047282201213	280.92126189974175	222.36134102932036	238.5759445024068	295.697189390936	385.2253912479033	322.05315331121005	344.31325639039926	443.8785521906486
ENSDARG00000105630	3.461410603927766e-17	3.108218521934396e-14	1.3024889886947713	7	30109990	30127082	-1	protein_coding	alpk3b	alpha-kinase 3b [Source:ZFIN;Acc:ZDB-GENE-121101-3]	27	58	131	41	120	44	89	183	75	162	70	119	102	65	56	50	55	89	62	63	67	70	88	28.971039801965823	44.93615697877716	119.48358750120208	60.798383395056575	130.61146340008872	53.02314188504145	113.04304613798112	132.0256388527632	55.60736066231912	129.98177185784036	49.29247284706372	114.16605055106326	97.45078060144952	44.41967714938528	76.27378273094004	49.2844319122354	65.75200944415387	85.9646115818389	66.66627542632011	82.5482981245507	67.21981704626504	69.25841364174697	99.3926529078297
ENSDARG00000101205	4.52308749774579e-15	3.9165091565302385e-12	-0.7078180336668911	8	7875110	7912936	1	protein_coding	mbd1a	methyl-CpG binding domain protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4214]	233	367	201	184	146	219	161	241	384	204	403	119	187	388	110	287	223	241	252	129	141	153	152	250.00934347622356	284.33740708984857	183.32977929573755	272.85128157781486	158.9106138034413	263.91063801872906	204.49360031702201	173.8698304017264	284.7096865910739	163.68074974691007	283.7838079623811	114.16605055106326	178.65976443599078	265.1513035994075	149.82350179291794	282.89263917623117	266.59451101902386	232.78057742947385	270.966151732785	169.02746758836574	141.4626000525876	151.37910410267554	171.67821865897858
ENSDARG00000058656	1.746831536256159e-14	1.4604113998803648e-11	1.0183700352553227	9	7515864	7539326	-1	protein_coding	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]	3078	3706	6930	2363	5516	2622	3930	6698	3745	11636	4309	6884	6247	4692	8126	3757	3281	3505	3579	5644	6620	6147	5647	3302.6985374241035	2871.2654786784165	6320.772987659011	3504.06292591509	6003.773600957412	3159.697227785879	4991.676082272649	4832.282672326819	2776.660875738468	9336.221588505125	3034.3037928285366	6604.362117592601	5968.382611933874	3206.417310537165	11067.870686993192	3703.232213885368	3922.406236113979	3385.4602651050036	3848.364512109673	7395.279279602606	6641.71923651156	6081.878123654552	6378.071715574027
ENSDARG00000063223	3.4349931498606124e-14	2.7760469639456847e-11	1.0927219721977637	2	6261413	6262441	-1	protein_coding	arl14	ADP-ribosylation factor-like 14 [Source:ZFIN;Acc:ZDB-GENE-070705-288]	43	49	94	26	114	36	87	147	73	109	71	99	77	76	67	57	35	60	40	55	78	62	71	46.13906338831594	37.9633050337945	85.73631469551906	38.55507239686514	124.0808902300843	43.382570633215735	110.50275296634109	106.0533820292688	54.12449771132394	87.45687118829998	49.9966510305932	94.97847902987615	73.56578535599621	51.93685328235817	91.25613291023184	56.184252379948354	41.84218782809792	57.95367072932959	43.01050027504524	72.06597455317919	78.25590641206973	61.34316636840446	80.19179950518078
ENSDARG00000091131	7.905938825578842e-14	6.183209252456743e-11	-0.6054311024234958	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]	408	626	282	304	275	365	255	432	587	344	678	263	393	688	210	498	373	478	385	253	304	312	220	437.784601451928	485.0005908399052	257.20894408655715	450.7977695633463	299.3179369585367	439.8510633645484	323.8873793841032	311.6670818819328	435.2202761170843	276.0106760438091	477.43280843298857	252.3165655036104	375.4721252585261	470.1651981350319	286.0266852410252	490.87294184586455	445.9181731394435	461.6975768103257	413.9760651473104	331.50348294462424	304.9973788367846	308.69464366035794	248.48163226957425
ENSDARG00000098379	1.1314575663257283e-13	8.572558967364775e-11	1.1995787500689292	7	18721547	18730474	-1	protein_coding	C7H4orf54	si:dkey-38l22.2 [Source:ZFIN;Acc:ZDB-GENE-141216-433]	36	52	127	24	131	63	89	157	66	153	71	85	90	97	59	42	48	66	42	70	88	101	75	38.62805306928776	40.28758901545538	115.83523368437149	35.58929759710629	142.5841808784302	75.91949860812753	113.04304613798112	113.2678978135728	48.934477382840825	122.76056231018255	49.9966510305932	81.54717896504519	85.98598288363193	66.28782589985188	80.35987823438326	41.39892280627773	57.38357187853429	63.74903780226255	45.161025288797504	91.72033124950077	88.28871492643765	99.9299968259492	84.70964736462759
ENSDARG00000062374	9.664365446414684e-13	7.10038000752497e-10	0.8600653687475277	16	13810018	13818071	-1	protein_coding	leng9	leukocyte receptor cluster (LRC) member 9 [Source:ZFIN;Acc:ZDB-GENE-061013-607]	71	93	136	60	138	62	128	274	124	160	117	153	124	129	97	73	63	84	87	92	121	130	108	76.18310466442864	72.05280343148752	124.04402977224034	88.97324399276572	150.20318291010204	74.71442720164931	162.5787629849616	197.67773248992958	91.93750296170094	128.3770586250275	82.38884747294937	146.78492213708134	118.46957641744844	88.15597465031848	132.117087944664	71.95527059186368	75.31593809057625	81.13513902106142	93.5478380982234	120.54672107077245	121.39698302385177	128.62276819181582	121.98189220506373
ENSDARG00000002396	1.284546879264931e-12	9.159952672875956e-10	-0.5132640042302549	24	20194022	20208474	-1	protein_coding	cry-dash	cryptochrome DASH [Source:NCBI gene;Acc:402986]	783	1022	534	514	610	655	425	821	1039	651	1072	531	560	909	383	814	667	729	657	445	546	539	409	840.1601542570088	791.8060764191424	487.05523454688483	762.2041235380264	663.9416056171177	789.3217712432307	539.8122989735053	592.3117458913584	770.3473030419942	522.3341572805806	754.8790127436043	509.43002388751756	535.0238934981543	621.1921004429419	521.6581926062506	802.3505515311923	797.392550895466	704.1370993613544	706.447467017618	583.0792486575407	547.7913448844881	533.2897850414518	461.9499436284358
