Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count
ENSDARG00000058206	1.1153703774856648e-43	2.517695133906278e-40	1.5822078443362713	14	11457500	11461002	1	protein_coding	si:ch211-153b23.5	si:ch211-153b23.5 [Source:ZFIN;Acc:ZDB-GENE-030131-9744]	1371	1622	1013	1203	1183	1282	338	438	676	417	622	532	1626.2762254498164	1369.5736493074066	1053.8413260832851	1721.8981343677935	1134.4168892583518	1292.2560482488848	428.12610564402087	454.550302617139	486.0068538333059	470.8823173012053	460.7242951849752	433.78964639926045
ENSDARG00000030722	3.3836252569711304e-41	7.001284594216097e-38	1.9715130830433045	2	23749614	23768832	-1	protein_coding	xirp1	xin actin binding repeat containing 1 [Source:NCBI gene;Acc:497637]	654	1586	875	542	1420	1186	226	238	380	255	367	316	775.7729040438949	1339.176207029314	910.2775521449896	775.7845293660383	1361.6838400227048	1195.4880446358638	286.26183395132756	246.9930868102262	273.19911901872223	287.9496184935428	271.8421484451541	257.6645268085833
ENSDARG00000074390	1.2889824818048418e-38	2.461956540247248e-35	1.3078664473200259	16	46649469	46664465	-1	protein_coding	tmem176l.4	transmembrane protein 176l.4 [Source:ZFIN;Acc:ZDB-GENE-030131-3532]	2324	2886	1915	1768	2465	2207	788	1064	1093	963	1118	1203	2756.7220626880912	2436.861622627112	1992.207442694463	2530.603409444937	2363.7680744056106	2224.6560830618478	998.1164829807351	1104.204388092776	785.8069397038511	1087.4332651344382	828.1185884514505	980.9190688314104
ENSDARG00000104899	1.0607090532864054e-36	1.8812432709358177e-33	7.456573321297562	8	7828414	7848287	1	processed_transcript	CR931813.2	NA	152	308	349	173	144	90	1	3	2	0	1	1	180.3019593496514	260.0670061570168	363.07070365554443	247.62126121831113	138.08624856568272	90.7200033872072	1.266645282970476	3.1133582371036916	1.4378901000985382	0	0.7407143009404745	0.815394072179061
ENSDARG00000073820	8.926481821093078e-36	1.4776302907849408e-32	3.3000703291220335	14	11504504	11507426	-1	protein_coding	zgc:174917	zgc:174917 [Source:ZFIN;Acc:ZDB-GENE-070928-42]	210	299	210	144	149	184	10	24	36	36	23	9	249.10139120675524	252.4676455874936	218.4666125147975	206.11249488691794	142.88090997421338	185.47200692495696	12.66645282970476	24.906865896829533	25.882021801773686	40.65171084614722	17.036428921630915	7.3385466496115495
ENSDARG00000097157	7.561445262884869e-34	1.1734417867339457e-30	2.422049636390626	15	29593547	29598679	-1	protein_coding	si:ch211-207n23.2	si:ch211-207n23.2 [Source:ZFIN;Acc:ZDB-GENE-131121-310]	823	1318	594	717	1071	783	119	166	125	202	209	296	976.2402141102837	1112.8841367368448	617.9484182561415	1026.2684641244455	1027.0164737072653	789.2640294687027	150.73078867348664	172.2724891197376	89.86813125615863	228.10126641449273	154.80928889655917	241.35664536500207
ENSDARG00000089086	1.613548764540188e-33	2.356730342560757e-30	1.8950287071698768	11	18249809	18253111	-1	protein_coding	mustn1b	musculoskeletal, embryonic nuclear protein 1b [Source:ZFIN;Acc:ZDB-GENE-111129-2]	441	890	325	432	571	544	122	146	244	128	166	179	523.1129215341861	751.492322986185	338.10309079671043	618.3374846607538	547.5503328542003	548.3520204737857	154.5307245223981	151.51676753904633	175.42259221202167	144.5394163418568	122.95857395611877	145.95553892005194
ENSDARG00000036371	5.069887254911726e-32	6.993627807747676e-29	-1.4647859834710362	1	53945934	53953532	1	protein_coding	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]	785	1310	762	743	1193	1315	2419	2343	4777	3033	3480	3234	931.1647242728708	1106.1291495639352	792.7217082679796	1063.4832201456945	1144.0062120754133	1325.5200494908609	3064.0149395055814	2431.532783177983	3434.4005040853585	3424.9066387879034	2577.6857672728515	2636.9844294270833
ENSDARG00000079111	5.953224457266854e-30	7.779924382838736e-27	-1.2901029935638284	25	14087045	14125498	1	protein_coding	actc1c	actin alpha cardiac muscle 1c [Source:ZFIN;Acc:ZDB-GENE-040625-46]	510	858	646	302	695	677	1314	1429	2030	1479	1729	2106	604.9605215021198	724.4723742945469	672.0449127836152	432.2637045545084	666.4579357857604	682.4160254793253	1664.3719018232055	1482.9963069403918	1459.4584516000164	1670.1077872625483	1280.6950263260803	1717.2199160091025
ENSDARG00000068951	9.906038608325188e-30	1.229834693223572e-26	4.030347332404663	18	15758375	15768336	1	protein_coding	si:ch211-219a15.4	si:ch211-219a15.4 [Source:ZFIN;Acc:ZDB-GENE-060503-308]	123	242	46	143	187	105	9	13	7	8	7	14	145.9022434210995	204.3383619805132	47.85459131276517	204.68115811686988	179.3203366790463	105.84000395174174	11.399807546734284	13.49121902744933	5.032615350344884	9.03371352136605	5.185000106583321	11.415517010506855
ENSDARG00000109626	5.508310479689966e-29	6.5129213909858025e-26	3.102636491663325	12	46283843	46315898	-1	protein_coding	si:ch211-226h7.3	si:ch211-226h7.3 [Source:ZFIN;Acc:ZDB-GENE-130531-9]	287	199	230	172	179	289	29	25	17	26	22	62	340.4385679825655	168.0303059261245	239.27295656382586	246.18992444826307	171.64887842539727	291.3120108766987	36.732713206143806	25.944651975864097	12.222065850837575	29.35956894443966	16.29571462069044	50.554432475101784
ENSDARG00000062221	9.779048572500062e-29	1.1036989820689845e-25	1.3723700614234304	5	23888314	23909934	-1	protein_coding	arap1a	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1a [Source:ZFIN;Acc:ZDB-GENE-030131-6226]	298	416	280	272	426	325	124	129	152	127	152	205	353.48673609339556	351.2593329912954	291.2888166863967	389.3236014530672	408.5051520068114	327.60001223158156	157.06401508833903	133.87440419545874	109.2796476074889	143.41020215168604	112.58857374295212	167.1557847967075
ENSDARG00000076914	2.322186077659069e-28	2.506951317751073e-25	2.0608271442157795	9	18572970	18587754	1	protein_coding	lacc1	laccase (multicopper oxidoreductase) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-155]	95	102	72	62	127	105	20	18	29	22	40	27	112.68872459353213	86.12608645459648	74.902838576502	88.74287974297856	121.78439977667851	105.84000395174174	25.33290565940952	18.68014942262215	20.849406451428802	24.842712183756635	29.62857203761898	22.015639948834647
ENSDARG00000117818	2.9128109335602174e-28	3.0135456450125082e-25	1.9681659366394826	7	936128	964628	1	lincRNA	CR926130.2	NA	317	246	241	162	338	292	69	57	71	87	88	90	376.02448101210194	207.71585556696797	250.71644579079143	231.87655674778267	324.11911121667197	294.3360109896056	87.39852452496285	59.15380650497014	51.04509855349811	98.24163454485578	65.18285848276176	73.3854664961155
ENSDARG00000091131	7.814181704657629e-28	7.761045269065957e-25	-0.7870802224807736	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]	220	344	312	210	282	263	365	498	688	408	678	626	260.96336221660073	290.4644484351097	324.578967164842	300.58072171008865	270.4189034411287	265.10400989817214	462.32552828422376	516.8174673592129	494.6341944338971	460.7193895896685	502.2042960376417	510.4366891840922
ENSDARG00000102758	1.139472434720914e-27	1.0881961751584728e-24	2.24744171471976	8	52479026	52490474	1	protein_coding	FO704661.1	gamma-glutamyl hydrolase [Source:NCBI gene;Acc:553228]	141	192	85	121	162	150	24	44	29	34	33	39	167.25379123882138	162.11969214982867	88.42696220837043	173.191749175813	155.34702963639307	151.20000564534533	30.399486791291423	45.66258747752081	20.849406451428802	38.39328246580571	24.44357193103566	31.80036881498338
ENSDARG00000056210	2.0076158707483497e-27	1.8462630396548714e-24	2.71033795960796	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	69	189	78	121	180	146	14	16	36	17	22	34	81.84759996793386	159.5865719599876	81.1447417912105	173.191749175813	172.6078107071034	147.1680054948028	17.733033961586663	16.604577264553022	25.882021801773686	19.196641232902856	16.29571462069044	27.723398454088077
ENSDARG00000077982	1.397814844624496e-26	1.2395622354295086e-23	1.64670377734655	22	661505	665371	1	protein_coding	elf3	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:ZFIN;Acc:ZDB-GENE-030131-8760]	882	1141	709	519	975	815	269	250	263	343	375	280	1046.2258430683721	963.4300455362214	737.5848965380545	742.8637836549334	934.9589746634769	821.520030673043	340.7275811190581	259.446519758641	189.08254816295778	387.3204672285693	277.7678628526779	228.3103402101371
ENSDARG00000028731	1.8242826588264016e-26	1.5619633937468812e-23	1.470373088393037	9	41156287	41208343	1	protein_coding	stat4	signal transducer and activator of transcription 4 [Source:ZFIN;Acc:ZDB-GENE-030616-264]	360	462	236	218	305	277	96	122	150	107	142	150	427.03095635443754	390.10050923552524	245.51485977853434	312.031415870473	292.47434592036967	279.21601042507103	121.59794716516569	126.6099016422168	107.84175750739037	120.8259183482709	105.18143073354739	122.30911082685915
ENSDARG00000077301	5.883060465940917e-26	4.869213045643765e-23	1.0513112004444498	15	1148074	1162658	1	protein_coding	mlf1	myeloid leukemia factor 1 [Source:ZFIN;Acc:ZDB-GENE-080917-7]	745	1409	830	658	907	800	380	439	580	342	669	547	883.7168402334888	1189.7221158286904	863.4632780346759	941.8195946916111	869.75157950746	806.4000301085085	481.3252075287809	455.58808869617354	416.98812902857605	386.1912530383986	495.53786732917746	446.0205574819464
ENSDARG00000054160	1.9512709930023991e-25	1.562905121169341e-22	3.9976746272559667	10	40786196	40819136	-1	protein_coding	zgc:113625	zgc:113625 [Source:ZFIN;Acc:ZDB-GENE-050320-47]	107	118	41	54	127	83	11	5	2	8	7	3	126.92308980534672	99.63606080041554	42.653005300508084	77.29218558259423	121.78439977667851	83.66400312375775	13.933098112675236	5.18893039517282	1.4378901000985382	9.03371352136605	5.185000106583321	2.446182216537183
ENSDARG00000113076	8.904308924705174e-25	6.909187206263422e-22	3.094850937360734	12	43848634	44024244	-1	protein_coding	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]	591	450	321	439	782	552	69	67	49	83	50	88	701.0424866818684	379.96802847616095	333.94182198690476	628.3568420510901	749.8850442941937	556.4160207748708	87.39852452496285	69.53166729531578	35.228307452414185	93.72477778417276	37.03571504702373	71.75467835175738
ENSDARG00000098256	1.4038211916597316e-24	1.0562690966336707e-21	1.844025182513782	12	43730276	43819253	-1	protein_coding	si:ch73-329n5.6	si:ch73-329n5.6 [Source:ZFIN;Acc:ZDB-GENE-131121-171]	868	614	917	721	1064	996	238	328	278	156	336	346	1029.6190836545884	518.4452655208063	953.9708746479491	1031.9938112046377	1020.3039477353224	1003.9680374850931	301.4615773469733	340.39383392333696	199.8667239136968	176.15741366663795	248.88000511599944	282.12634897395515
ENSDARG00000038583	1.7991206981025643e-24	1.3138872627613727e-21	0.9749878112768255	6	52064304	52072829	1	protein_coding	abraa	actin binding Rho activating protein a [Source:ZFIN;Acc:ZDB-GENE-120730-1]	849	1524	1142	854	1194	1058	511	498	967	421	796	724	1007.0813387358819	1286.825056439265	1188.042245199518	1222.3616016210271	1144.9651443571192	1066.4640398185024	647.2557395979132	516.8174673592129	695.2198633976432	475.39917406188835	589.6085835486177	590.3453082576402
ENSDARG00000103199	9.334264068427184e-24	6.621993623401343e-21	2.50280303002166	16	23339062	23346095	-1	protein_coding	si:dkey-247k7.2	si:dkey-247k7.2 [Source:ZFIN;Acc:ZDB-GENE-031118-45]	1873	2723	1632	1666	2471	2172	338	485	215	361	427	631	2221.74717014406	2299.2287589790803	1697.7976744007121	2384.6070589000365	2369.5216680958474	2189.3760817446005	428.12610564402087	503.3262483317635	154.57318576059285	407.64632265164295	316.28500650158264	514.5136595449875
ENSDARG00000058365	3.926058390854175e-23	2.7078897179141434e-20	1.2438815285027482	5	15819651	15840485	1	protein_coding	hspb8	heat shock protein b8 [Source:ZFIN;Acc:ZDB-GENE-030131-2480]	734	1729	826	676	1272	975	357	392	625	448	588	539	870.6686721226588	1459.9216027450716	859.3020092248702	967.5836565524759	1219.7618623301973	982.8000366947447	452.19236602045993	406.8121429815491	449.34065628079316	505.88795719649875	435.540008952999	439.49740490451387
ENSDARG00000043243	7.112087982520495e-23	4.7727876920536185e-20	1.409844207558727	20	20360337	20410127	-1	protein_coding	prkchb	protein kinase C, eta, b [Source:ZFIN;Acc:ZDB-GENE-041001-104]	114	141	136	101	132	110	46	43	64	58	58	48	135.22646951223857	119.05664892253043	141.4831395333927	144.56501377485216	126.57906118520917	110.88000413991992	58.265683016641894	44.62480139848625	46.012483203153224	65.49442302990386	42.96142945454752	39.13891546459493
ENSDARG00000035178	8.798349499734403e-23	5.74902679153698e-20	1.6624471068435915	5	55543580	55560937	-1	protein_coding	gna14	guanine nucleotide binding protein (G protein), alpha 14 [Source:ZFIN;Acc:ZDB-GENE-040808-7]	443	521	251	336	477	346	92	115	177	164	148	168	525.4853157361551	439.918539635733	261.1196178153056	480.9291547361418	457.41069837382406	348.7680130219299	116.53136603328379	119.34539908897484	127.25327385872063	185.191127188004	109.62571653919022	136.98620412608224
ENSDARG00000101040	1.4267521399732464e-22	9.083655291163002e-20	5.087001401167347	2	45191049	45193014	1	protein_coding	ccl20a.3	chemokine (C-C motif) ligand 20a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081022-193]	60	73	26	33	62	44	2	0	1	3	2	2	71.17182605907293	61.63925795279944	27.048247263736837	47.23411341158536	59.45380146578006	44.35200165596797	2.533290565940952	0	0.7189450500492691	3.3876425705122686	1.481428601880949	1.630788144358122
ENSDARG00000004748	3.3128547512621797e-22	2.056454586845998e-19	1.5193926384294938	3	39472342	39488639	-1	protein_coding	zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]	3890	3888	2195	2360	3150	3047	836	1447	1319	1017	1184	1621	4614.306722829895	3282.9237660340305	2283.4962593808596	3377.9547773133772	3020.6366873743095	3071.3761146757815	1058.915456563318	1501.676456363014	948.2885210149859	1148.410831403659	877.0057323135218	1321.753791002258
ENSDARG00000036767	3.8564260727016554e-22	2.3354892532971245e-19	3.622254610255145	19	7682109	7690975	-1	protein_coding	urgcp	upregulator of cell proliferation [Source:ZFIN;Acc:ZDB-GENE-120215-160]	485	850	518	383	650	764	76	25	42	71	24	72	575.3055939775062	717.7173871216373	538.8843108698338	548.2019829283997	623.3059831089845	770.1120287536256	96.26504150575617	25.944651975864097	30.1956921020693	80.17420750212368	17.77714322257139	58.708373196892396
ENSDARG00000093316	8.435262314884465e-22	4.986846744728125e-19	1.6645676461933208	20	35719375	35750810	-1	protein_coding	adgrf8	adhesion G protein-coupled receptor F8 [Source:ZFIN;Acc:ZDB-GENE-130531-41]	173	259	132	109	188	181	45	42	51	65	91	79	205.21209847032694	218.69270972294595	137.321870723587	156.0157079352365	180.27926896075246	182.44800681205004	56.99903773367142	43.58701531945168	36.66619755251272	73.39892236109915	67.40500138558318	64.41613170214582
ENSDARG00000076146	1.0005521182662251e-21	5.777606766639621e-19	1.5932257291399705	7	2244859	2249885	1	protein_coding	zgc:172075	zgc:172075 [Source:ZFIN;Acc:ZDB-GENE-080215-3]	119	202	151	94	135	130	33	72	58	48	57	43	141.1574550171613	170.56342611596557	157.08789757016393	134.54565638451587	129.45585803032756	131.04000489263262	41.79929433802571	74.7205976904886	41.698812902857604	54.2022811281963	42.220715153607046	35.06194510369962
ENSDARG00000091860	1.0327700243767196e-21	5.828109023925898e-19	2.3382026417508834	8	42712747	42724810	1	protein_coding	zgc:194007	zgc:194007 [Source:ZFIN;Acc:ZDB-GENE-081022-49]	67	67	64	43	65	64	22	11	15	11	16	8	79.47520576596477	56.57301757311729	66.58030095689067	61.54748111206577	62.33059831089845	64.51200240868067	27.86619622535047	11.415646869380202	10.784175750739037	12.421356091878318	11.851428815047592	6.523152577432488
ENSDARG00000043701	2.9243077342029363e-21	1.6135680231168648e-18	1.9741428392416416	8	7033049	7052493	1	protein_coding	gpd1a	glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]	332	440	449	301	347	350	57	73	104	117	232	85	393.8174375268702	371.524294510024	467.1024239006861	430.8323677844604	332.74950175202713	352.80001317247246	72.19878112931714	75.75838376952316	74.77028520512398	132.11806024997847	171.84571781819008	69.30849613522018
ENSDARG00000099002	4.1134816206827934e-21	2.2203858400337773e-18	2.020735166142249	19	19496479	19505167	-1	protein_coding	creb5a	cAMP responsive element binding protein 5a [Source:ZFIN;Acc:ZDB-GENE-120827-2]	53	97	51	60	88	91	11	11	26	20	29	29	62.86844635218109	81.90421947152802	53.056177325022254	85.88020620288248	84.38604079013945	91.72800342484284	13.933098112675236	11.415646869380202	18.692571301280996	22.584283803415122	21.48071472727376	23.64642809319277
ENSDARG00000007823	2.3142767441691192e-20	1.222627479951473e-17	1.3184543384679117	20	37794633	37800737	1	protein_coding	atf3	activating transcription factor 3 [Source:ZFIN;Acc:ZDB-GENE-040426-728]	349	465	314	349	509	477	155	178	182	117	287	228	413.9827882436075	392.6336294253663	326.65960156974484	499.5365327467664	488.0965313884202	480.8160179521982	196.3300188604238	184.72592206815239	130.84799910896697	132.11806024997847	212.5850043699162	185.90984845682593
ENSDARG00000075048	2.3914113995793833e-19	1.2370571885740851e-16	-0.8466625440382205	14	34068075	34092744	1	protein_coding	lonrf1	LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-101021-4]	750	1122	884	656	1015	864	1303	1512	1781	1734	2587	1954	889.6478257384116	947.3869510005612	919.6404069670524	938.956921151515	973.316265931722	870.9120325171891	1650.4388037105302	1569.1325515002607	1280.4411341377483	1958.0574057560912	1916.2278965330077	1593.2800170378853
ENSDARG00000099448	3.642668129510012e-19	1.8458663195047673e-16	0.6378580962304116	16	35905031	35938157	1	protein_coding	sh3d21	SH3 domain containing 21 [Source:ZFIN;Acc:ZDB-GENE-051120-57]	620	778	621	479	754	616	338	431	523	418	597	554	735.4422026104203	656.9225025654515	646.0369827223298	685.6103128530117	723.034940406422	620.9280231835515	428.12610564402087	447.28580006389706	376.00826117576776	472.01153149137605	442.20643766146327	451.72831598719984
ENSDARG00000009702	1.1297513718076983e-18	5.61034531239703e-16	1.4946572454767373	7	49695904	49715154	1	protein_coding	ascl1b	si:ch211-210p4.6 [Source:NCBI gene;Acc:560440]	86	122	72	47	92	98	22	38	41	32	43	33	102.0129506846712	103.0135543868703	74.902838576502	67.27282819225793	88.22176991696396	98.78400368829229	27.86619622535047	39.43587100331343	29.476747052020034	36.1348540854642	31.850714940440405	26.908004381909013
ENSDARG00000058656	1.4631671562484683e-18	7.12361578228421e-16	1.2467700005956377	9	7515864	7539326	-1	protein_coding	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]	5647	11636	6147	8126	6930	6884	2622	3757	4692	3078	4309	3706	6698.455029259747	9825.128842996908	6394.829843468859	11631.042593410382	6645.400712223482	6939.072259083716	3321.143931948588	3898.9622989328564	3373.2901748311706	3475.721277345587	3191.737922752505	3021.8504314956003
ENSDARG00000117300	2.4190919944502096e-18	1.155116427349975e-15	2.4903368274740805	18	38859119	38865170	-1	lincRNA	BX936456.1	NA	79	112	44	45	69	56	9	17	9	8	14	25	93.70957097777935	94.5698204207334	45.773956907862335	64.41015465216185	66.16632743772297	56.44800210759559	11.399807546734284	17.642363343587586	6.470505450443421	9.03371352136605	10.370000213166643	20.384851804476526
ENSDARG00000069566	2.6460864158983542e-18	1.2396665227689837e-15	2.896561769158404	1	45149844	45157243	-1	protein_coding	mucms1	mucin, multiple PTS and SEA group, member 1 [Source:ZFIN;Acc:ZDB-GENE-061009-17]	97	69	57	99	55	76	5	12	8	11	14	24	115.06111879550123	58.26176436634468	59.298080539730755	141.70234023475606	52.74127549383715	76.6080028603083	6.33322641485238	12.453432948414767	5.751560400394153	12.421356091878318	10.370000213166643	19.569457732297465
ENSDARG00000013685	4.292322122060087e-18	1.9736733016805922e-15	0.9082833055295025	8	6576940	6609288	1	protein_coding	vsig8b	V-set and immunoglobulin domain containing 8b [Source:ZFIN;Acc:ZDB-GENE-081104-51]	210	322	219	207	235	217	111	119	165	133	168	169	249.10139120675524	271.88823370960847	227.82946733686026	296.2867113999445	225.34908620094058	218.73600816693292	140.59762640972284	123.4965434051131	118.6259332581294	150.18548729271058	124.44000255799972	137.8015981982613
ENSDARG00000034503	4.894453056164655e-18	2.209623079719425e-15	-0.9147394917656108	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	1880	2665	3010	1565	2640	2422	3646	4842	5005	3917	7118	6151	2230.050549850952	2250.2551019754865	3131.3547793787643	2240.0420451251844	2531.5812237041832	2441.3760911535096	4618.188701710355	5024.960194685358	3598.3199754965917	4423.131982898852	5272.4043940942975	5015.488937973404
