Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count
ENSDARG00000101205	1.9091127979313995e-12	1.5398358367315259e-9	-0.7842006824128724	8	7875110	7912936	1	protein_coding	mbd1a	methyl-CpG binding domain protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4214]	152	204	153	110	201	119	252	223	184	339	241	384	167.72260327309587	159.99643964269754	147.9805796892898	146.63971594389824	178.9568327072778	111.55796454600193	264.687327887281	260.51990916517474	266.48084163423135	275.1621491043431	227.8080977590935	277.8645888660314
ENSDARG00000060238	2.2585368369463403e-12	1.7588550319171084e-9	0.6285806255704837	7	33798131	33869011	-1	protein_coding	uacab	uveal autoantigen with coiled-coil domains and ankyrin repeats b [Source:ZFIN;Acc:ZDB-GENE-030521-32]	2154	2824	2157	1908	2078	2025	1247	1285	1062	1591	1530	1803	2376.805838488477	2214.8526742694994	2086.2360156195955	2543.5325274632532	1850.1109371429018	1898.3603210559152	1309.7821344263468	1501.202167162554	1538.0579011714874	1291.3952189528313	1446.250579134494	1304.661077410038
ENSDARG00000009862	4.38962471114017e-12	3.3045094825463195e-9	-0.7985271810383293	10	39283985	39294725	1	protein_coding	dcps	decapping enzyme, scavenger [Source:ZFIN;Acc:ZDB-GENE-040311-1]	134	229	210	111	215	174	344	264	213	347	259	417	147.86071604338716	179.6038464616556	203.110599573535	147.97280427066096	191.42148772171507	163.1183683277675	361.31920949692324	308.41818842872703	308.48053950049604	281.6556511481034	244.82281045479343	301.743576971706
ENSDARG00000099197	1.0578249835460537e-11	7.70642562206583e-9	-0.5824189782239271	17	117024	125091	-1	protein_coding	actc1b	actin alpha cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]	169404	232060	227643	155713	200956	195926	274700	268352	192715	403082	310544	323366	186926.84134786535	182003.79305629604	220174.79151770586	207579.18262520208	178917.65807723242	183673.1576608401	288530.19432792097	313502.4155349461	279102.47497576574	327176.7238503741	293545.38552074664	233989.48084180497
ENSDARG00000039486	1.3191430600447592e-11	9.309852146265889e-9	0.726342613385787	13	25486608	25498661	1	protein_coding	bag3	BCL2 associated athanogene 3 [Source:ZFIN;Acc:ZDB-GENE-040801-40]	393	537	348	337	455	370	275	186	182	294	247	286	433.6512045153071	421.16709847121854	336.5832792932866	449.2507661190337	405.10128796921094	346.86089816824125	288.8452982896915	217.29463275660314	263.58431074690276	238.63620010819133	233.47966865766014	206.95123024917964
ENSDARG00000089086	1.4843611094098827e-11	1.0158427665125087e-8	1.5288196928425983	11	18249809	18253111	-1	protein_coding	mustn1b	musculoskeletal, embryonic nuclear protein 1b [Source:ZFIN;Acc:ZDB-GENE-111129-2]	441	890	325	432	571	544	103	177	114	374	171	174	486.61623712786366	698.023682754906	314.337832673328	575.8941571614913	508.37985808883394	509.9792664960088	108.18569354122992	206.78037633289654	165.10226057773028	303.5712205457944	161.63977060914934	125.90739182992047
ENSDARG00000100872	1.734421631720744e-11	1.1520640626700377e-8	1.7476762972013125	24	9298198	9299478	1	protein_coding	otud1	OTU deubiquitinase 1 [Source:ZFIN;Acc:ZDB-GENE-170421-2]	204	267	138	293	215	133	81	49	40	98	61	57	225.1013886033655	209.4071048264718	133.4726797197516	390.5948797414744	191.42148772171507	124.68243096317862	85.0780696780546	57.24428497351373	57.93061774657203	79.54540003606378	57.660970802094205	41.24552490980154
ENSDARG00000041065	2.2707646564578016e-11	1.4652271143269427e-8	1.1618860543332332	5	3568016	3584815	-1	protein_coding	hspb1	heat shock protein, alpha-crystallin-related, 1 [Source:NCBI gene;Acc:368243]	598	1458	680	596	1186	876	368	330	300	639	312	383	659.8560312981009	1143.5039656816325	657.6914652857324	794.5206427505759	1055.9343462230422	821.2166129604848	386.52752643856905	385.5227355359088	434.47963309929025	518.6684757453546	294.92168672546546	277.14098316585944
ENSDARG00000093042	4.795507292357221e-11	3.008381574738763e-8	-1.3239616293281444	8	12843300	12847483	-1	protein_coding	si:dkey-104n9.1	si:dkey-104n9.1 [Source:ZFIN;Acc:ZDB-GENE-081104-300]	31	46	53	30	44	50	127	108	41	147	100	118	34.20658356227613	36.07762854688278	51.26124655903503	39.99264980288134	39.174630045374244	46.873094347059634	133.39401048287573	126.17107708447924	59.37888319023633	119.31810005409567	94.52618164277739	85.3854726202909
ENSDARG00000078696	8.588024926966887e-11	5.241944728395139e-8	0.7241648633330938	12	26408351	26430507	-1	protein_coding	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]	454	997	566	416	696	739	351	300	289	416	402	538	500.9609334604311	781.9433839400464	547.431425517242	554.5647439332879	619.6714207177381	692.7843344495413	368.6716352715699	350.4752141235534	418.5487132189829	337.662106275536	379.9952502039651	389.29986669251275
ENSDARG00000029439	8.866732269998697e-11	5.269638989096067e-8	-0.7274137251991224	8	11687254	11744994	1	protein_coding	atp2a2a	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2a [Source:ZFIN;Acc:ZDB-GENE-040426-702]	781	1071	916	666	960	831	1696	1382	788	1362	1541	1877	861.7852181334729	839.9813081241622	885.9490914731336	887.8368256239658	854.7192009899835	779.0308280481311	1781.3877305429705	1614.5224863958363	1141.233169607469	1105.5187229501926	1456.6484591151996	1358.2078992227628
ENSDARG00000038668	2.1777016959196922e-10	1.2377947960197404e-7	0.9937853410357814	2	42020915	42035307	-1	protein_coding	gbp1	guanylate binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-040718-32]	86	204	121	93	116	147	46	57	42	78	66	95	94.89568343083056	159.99643964269754	117.03039308760827	123.97721438893215	103.27857011962301	137.8068973803553	48.31594080482113	66.59029068347516	60.827148633900634	63.31164492666301	62.387279884233074	68.74254151633589
ENSDARG00000022832	2.1923393482460863e-10	1.2377947960197404e-7	-0.6190102263343625	17	20231801	20236309	-1	protein_coding	bnip4	BCL2 interacting protein 4 [Source:ZFIN;Acc:ZDB-GENE-051113-212]	158	187	157	138	161	152	224	219	170	320	239	301	174.34323234966544	146.6634030058061	151.8493530145	183.96618909325417	143.3435326660285	142.4942068150613	235.27762478869423	255.84690631019402	246.20512542293113	259.74008175041234	225.91757412623795	217.805315751759
ENSDARG00000039255	5.13978878346815e-10	2.8311460947767003e-7	0.4917260738006681	23	24926407	24939148	1	protein_coding	klhl21	kelch-like family member 21 [Source:NCBI gene;Acc:404613]	873	1304	1034	806	1092	906	644	692	443	849	779	872	963.301530640873	1022.722339676851	1000.0779045668344	1074.4691913707454	972.2430911261063	849.3404695687206	676.4231712674958	808.4294939116633	641.5815915432852	689.1229043940627	736.3589549972359	630.9841705499463
ENSDARG00000018566	1.8658443608370876e-9	1.0032911677415424e-6	1.620396976544608	25	35019693	35041057	1	protein_coding	flnca	filamin C, gamma a (actin binding protein 280) [Source:ZFIN;Acc:ZDB-GENE-070503-1]	1125	4638	1193	1396	2844	1821	707	458	518	823	688	831	1241.3679518567951	3637.5661130530943	1153.8616442439395	1860.9913041607451	2532.105632932826	1707.1180961199118	742.5950032393162	535.0588268952916	750.2014998181078	668.0190227518417	650.3401297023084	601.316336842896
ENSDARG00000009341	2.3190769369400147e-9	1.2180007800896113e-6	0.7430494632687099	12	30586599	30618440	1	protein_coding	nrap	nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224]	1182	2376	1251	1038	1822	1603	976	714	740	938	955	1001	1304.263928084206	1863.4879440737716	1209.9588574594873	1383.7456831796944	1622.1858168789063	1502.7514047667319	1025.1382222935963	834.1310096140572	1071.7164283115826	761.3631146308961	902.725034688524	724.3293058721288
ENSDARG00000058285	3.5003497232599864e-9	1.7966340488659893e-6	-0.5580532516682545	18	8340886	8367566	1	protein_coding	cpt1b	carnitine palmitoyltransferase 1B (muscle) [Source:ZFIN;Acc:ZDB-GENE-041010-9]	310	345	361	238	335	300	423	399	347	598	487	523	342.0658356227613	270.5822141016209	349.1567926002197	317.2750217695253	298.261387845463	281.2385660823578	444.2965860965074	466.1320347843261	502.54810895151235	485.3892777710831	460.34250460032587	378.44578118993337
ENSDARG00000042630	4.8389282635764896e-9	2.4284967978802543e-6	-0.761367674486643	20	30894093	30901034	-1	protein_coding	hebp2	heme binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-914]	295	441	414	270	399	311	683	652	323	677	552	699	325.5142629313374	345.87465628641974	400.41803915925476	359.9338482259321	355.2426679114619	291.5506468387109	717.3866862976703	761.6994653618561	467.78973830356915	549.5126104532161	521.7845226681312	505.80038442019776
ENSDARG00000002405	5.175274180159575e-9	2.540834610537475e-6	-0.5249297639882331	5	20786772	20814588	-1	protein_coding	si:ch211-225b11.1	si:ch211-225b11.1 [Source:ZFIN;Acc:ZDB-GENE-060531-39]	181	313	222	142	225	226	285	250	194	427	318	412	199.72231047651547	245.48473337335457	214.7169195491656	189.298542400305	200.3248127320274	211.86638644870953	299.34876368204397	292.06267843629456	280.9634960708743	346.59067158570645	300.5932576240321	298.1255484708462
ENSDARG00000035859	8.667565318240248e-9	4.1648573435561225e-6	-0.5840277700538401	2	24536762	24542518	1	protein_coding	angptl4	angiopoietin-like 4 [Source:ZFIN;Acc:ZDB-GENE-041111-222]	1039	1129	1202	594	1321	1083	1615	1292	1143	1856	1554	1981	1146.4722684259646	885.4704919441448	1162.5663842256624	791.8544660970506	1176.1292338622586	1015.2712235573116	1696.309660864916	1509.3799221587701	1655.3674021082957	1506.4924741523917	1468.9368627287606	1433.4628920406462
ENSDARG00000027088	1.187924810915931e-8	5.589186235359455e-6	-0.5186021304791498	24	17027310	17029374	-1	protein_coding	ptgdsb.1	prostaglandin D2 synthase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8436]	2008	3175	2570	1540	3130	3025	3443	3108	2618	4804	3456	4296	2215.7038642919506	2490.1406660076705	2485.6868614475475	2052.9560232145755	2786.7407282277586	2835.822207997108	3616.343134586938	3630.923218320014	3791.558931513139	3899.347977278065	3266.8248375743865	3108.6100879387263
ENSDARG00000003684	1.329332943287122e-8	6.126868406366606e-6	0.6078213889743317	6	21157195	21189295	-1	protein_coding	obsl1a	obscurin like cytoskeletal adaptor 1a [Source:ZFIN;Acc:ZDB-GENE-060503-649]	238	445	349	212	340	318	175	183	148	198	235	295	262.61828670392646	349.011841377453	337.55047262458913	282.61472527369483	302.7130503506192	298.11288004729926	183.81064436616737	213.7898806153676	214.3432856623165	160.71417558306763	222.13652686052686	213.46368155072724
ENSDARG00000052515	1.80365438836981e-8	8.146746141388757e-6	1.0481404176671805	12	20641102	20652923	1	protein_coding	calcoco2	calcium binding and coiled-coil domain 2 [Source:ZFIN;Acc:ZDB-GENE-050522-346]	141	411	147	184	261	202	101	70	76	137	115	145	155.58478329938498	322.3457681036701	142.17741970147452	245.2882521243389	232.3767827691518	189.36730116212092	106.08500046275944	81.77754996216247	110.06817371848686	111.20122249939529	108.705108889194	104.92282652493373
ENSDARG00000039754	1.9888380432229224e-8	8.807042817283624e-6	-0.49821470287635833	8	26007308	26032245	1	protein_coding	xpc	xeroderma pigmentosum, complementation group C [Source:ZFIN;Acc:ZDB-GENE-030131-8461]	216	393	293	191	341	301	358	331	262	536	377	593	238.34264675650465	308.2284351940203	283.3876460716465	254.61987041167785	303.6033828516504	282.17602796929896	376.0240610462166	386.690986249654	379.4455462400468	435.06463693194064	356.36370479327076	429.09818020197037
ENSDARG00000044975	2.8761486519950372e-8	1.2491334837818447e-5	-0.4281399718172697	11	11468566	11471857	-1	protein_coding	krt94	keratin 94 [Source:ZFIN;Acc:ZDB-GENE-061027-116]	1116	1717	1216	1067	1194	1227	1636	1335	1110	2234	1678	2275	1231.4370082419407	1346.6367003260377	1176.107090863898	1422.405244655813	1063.057006231292	1150.2657352768433	1718.366938188856	1559.6147028498128	1607.574642467374	1813.3104457200661	1586.1493279658046	1646.2029678912015
ENSDARG00000043562	3.057057526426353e-8	1.2974103898836452e-5	-0.7935515067840209	17	23549117	23552068	1	protein_coding	zgc:65997	zgc:65997 [Source:ZFIN;Acc:ZDB-GENE-040426-1502]	108	141	113	95	99	79	165	187	125	238	186	199	119.17132337825232	110.58577445892331	109.29284643718789	126.64339104245758	88.14291760209206	74.05948906835422	173.30717897381493	218.46288347034832	181.0331804580376	193.18168580186918	175.81869785556594	143.9975343342194
ENSDARG00000098379	3.102203376448673e-8	1.2974103898836452e-5	1.05179178252674	7	18721547	18730474	-1	protein_coding	C7H4orf54	si:dkey-38l22.2 [Source:ZFIN;Acc:ZDB-GENE-141216-433]	75	153	101	59	127	85	42	48	24	39	66	66	82.75786345711967	119.99732973202316	97.68652646155732	78.65221127899997	113.07222763096657	79.68426039000137	44.11455464788016	56.076034259768555	34.75837064794322	31.655822463331504	62.387279884233074	47.757976211349146
ENSDARG00000069627	3.350771126222355e-8	1.3758875475382848e-5	2.906412812191682	8	6880262	6897619	-1	protein_coding	si:ch211-255g12.8	si:ch211-255g12.8 [Source:ZFIN;Acc:ZDB-GENE-081104-39]	7	27	23	27	14	21	4	2	3	0	2	5	7.724067255997836	21.175999364474677	22.245446619958596	35.99338482259321	12.46465501443726	19.686699625765044	4.201386156940968	2.336501427490356	4.344796330992902	0	1.8905236328555477	3.6180285008597837
