Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count
ENSDARG00000104919	3.974574591248077e-40	8.397944896757916e-37	3.86427928836701	14	11430796	11438060	1	protein_coding	si:ch211-153b23.3	si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]	512	1242	555	866	413	566	35	55	70	39	98	53	532.6610775098	1404.2710685024294	753.0325455745556	648.5597014542832	409.419188511704	744.5888606921741	43.791036002169385	56.30180499456583	49.711180378870786	43.45903137544148	71.5932825431774	42.652518077182414
ENSDARG00000062788	6.2155474048175194e-40	1.2122708034549863e-36	3.4905683684619655	14	11427052	11430610	-1	protein_coding	irg1l	immunoresponsive gene 1, like [Source:ZFIN;Acc:ZDB-GENE-061103-301]	923	1961	984	1522	728	865	110	104	175	70	180	112	960.2464346514558	2217.210600107298	1335.1063510727256	1139.8474198769272	721.6880611053766	1137.9317393970505	137.62897029253236	106.46159489881538	124.27795094717698	78.00338964822829	131.49786589563195	90.13362310649869
ENSDARG00000104899	3.010602602716272e-38	5.452416356562219e-35	7.119473205353816	8	7828414	7848287	1	processed_transcript	CR931813.2	NA	119	214	131	152	142	155	1	3	2	0	1	1	123.80208637434804	241.95974932328494	177.74281706354375	113.83495914671022	140.76882510571906	203.90684347577204	1.2511724572048397	3.071007545158136	1.4203194393963083	0	0.7305436994201775	0.8047644920223097
ENSDARG00000097157	6.379690875692223e-38	1.0783804143545088e-34	2.3076754206682013	15	29593547	29598679	-1	protein_coding	si:ch211-207n23.2	si:ch211-207n23.2 [Source:ZFIN;Acc:ZDB-GENE-131121-310]	891	857	534	1087	706	702	119	166	125	202	209	296	926.9551173070934	968.9696503273607	724.5394222284913	814.0697407399606	699.8788065115327	923.5006717418837	148.88952240737592	169.92908416541687	88.76996496226927	225.0954958420302	152.6836331788171	238.21028963860365
ENSDARG00000077169	1.1797481287968884e-37	1.8695321128528191e-34	2.522352021884077	14	11450498	11456724	-1	protein_coding	si:ch211-153b23.4	si:ch211-153b23.4 [Source:ZFIN;Acc:ZDB-GENE-030131-7332]	354	710	363	663	312	341	78	81	145	72	89	99	368.2851981220101	802.76365429688	492.5239892676823	496.53011785703205	309.2948833308757	448.5950556466985	97.59145166197749	82.91720371926966	102.97315935623234	80.23205792389196	65.01838924839579	79.67168471020865
ENSDARG00000052515	2.610348294830582e-36	3.8932577067899655e-33	1.6785237051745667	12	20641102	20652923	1	protein_coding	calcoco2	calcium binding and coiled-coil domain 2 [Source:ZFIN;Acc:ZDB-GENE-050522-346]	283	279	160	267	264	186	68	86	114	62	117	87	294.42008776420585	315.4521965476472	217.09046358906107	199.96009271165545	261.7110551261256	244.68821217092645	85.0797270899291	88.03554962786656	80.95820804558957	69.08871654557363	85.47361283216077	70.01451080594094
ENSDARG00000062221	2.4680059789473428e-34	3.476460644233882e-31	1.4299172291405897	5	23888314	23909934	-1	protein_coding	arap1a	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1a [Source:ZFIN;Acc:ZDB-GENE-030131-6226]	320	382	278	446	346	274	124	129	152	127	152	205	332.913173443625	431.9094590724058	377.1946804859936	334.01573539100497	343.000094975907	360.45467814426803	155.14538469340013	132.05332444179984	107.94427739411942	141.52043550464276	111.04264231186697	164.97672086457348
ENSDARG00000056210	7.939968939875499e-34	1.0595679603712803e-30	4.064272259751509	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	154	343	135	753	376	289	14	16	36	17	22	34	160.2144647197445	387.81399073778846	183.17007865327028	563.9323962991631	372.7399876038758	380.187598480633	17.516414400867756	16.378706907510058	25.565749909133547	18.943680343141157	16.071961387243906	27.36199272875853
ENSDARG00000058206	9.84083375831134e-34	1.2475716997099202e-30	1.7534619784348453	14	11457500	11461002	1	protein_coding	si:ch211-153b23.5	si:ch211-153b23.5 [Source:ZFIN;Acc:ZDB-GENE-030131-9744]	1297	2066	1130	2025	1053	1006	338	438	676	417	622	532	1349.3387061136925	2335.9291687004984	1533.2013990977437	1516.5512649479485	1043.8702312417054	1323.4211905588818	422.8962905352358	448.36710159308785	480.0679705159522	464.67733547587426	454.3981810393504	428.13470975586876
ENSDARG00000117818	3.047381341674512e-31	3.6793501865789163e-28	2.126863761681102	7	936128	964628	1	lincRNA	CR926130.2	NA	312	403	167	396	256	227	69	57	71	87	88	90	324.59034410753435	455.65317279104596	226.5881713710825	296.57002514537663	253.78041709200056	298.6248610903242	86.33089954713394	58.34914335800458	50.42134009856894	96.94706999136945	64.28784554897562	72.42880428200787
ENSDARG00000026771	7.931972031854295e-31	9.141597766712076e-28	1.5028269211825585	1	30422143	30438036	1	protein_coding	tmem41ab	transmembrane protein 41ab [Source:NCBI gene;Acc:406356]	399	466	274	689	552	348	142	143	214	116	241	271	415.1011131375199	526.8843139469662	371.7674188962671	516.0018871847589	547.2140243546262	457.80375180366883	177.66648892308723	146.38469298587114	151.97418001540498	129.2627599884926	176.06103156026276	218.09117733804592
ENSDARG00000073820	5.203002177910992e-30	5.7357443574318786e-27	3.196142753040344	14	11504504	11507426	-1	protein_coding	zgc:174917	zgc:174917 [Source:ZFIN;Acc:ZDB-GENE-070928-42]	143	255	135	292	144	130	10	24	36	36	23	9	148.7705743826199	288.3165237263442	183.17007865327028	218.68294783446962	142.7514846142503	171.01864291516367	12.511724572048397	24.568060361265086	25.565749909133547	40.11602896194598	16.80250508666408	7.242880428200787
ENSDARG00000036371	5.5935478931166235e-30	5.909350284582166e-27	-1.132759293495053	1	53945934	53953532	1	protein_coding	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]	1150	1076	1097	1612	1448	1040	2419	2343	4777	3033	3480	3234	1196.4067170630274	1216.5826648217505	1488.4264909825	1207.2496983190583	1435.445484176628	1368.1491433213093	3026.5861739785073	2398.456892768504	3392.4329809980823	3379.775440043949	2542.2920739822175	2602.6083672001496
ENSDARG00000100872	2.2550609491640622e-29	2.287082814642192e-26	2.0442628318779	24	9298198	9299478	1	protein_coding	otud1	OTU deubiquitinase 1 [Source:ZFIN;Acc:ZDB-GENE-170421-2]	284	223	135	293	141	165	47	56	69	33	68	81	295.4604414312172	252.13562663127357	183.17007865327028	219.4318620393822	139.77749535145344	217.0621237000154	58.80510548862746	57.325474176285205	49.00102065917263	36.77302654845048	49.67697156057207	65.18592385380708
ENSDARG00000102758	5.879754682374162e-29	5.733891537369112e-26	2.132652269587606	8	52479026	52490474	1	protein_coding	FO704661.1	gamma-glutamyl hydrolase [Source:NCBI gene;Acc:553228]	131	157	90	198	106	95	24	44	29	34	33	39	136.28633037848397	177.51252637269036	122.11338576884685	148.28501257268832	105.08095395215648	124.9751621303119	30.028138972916153	45.041443995652664	20.59463187124647	37.887360686282314	24.107942080865858	31.385815188870076
ENSDARG00000068951	7.326136698093884e-29	6.722829568594596e-26	4.656433709200301	18	15758375	15768336	1	protein_coding	si:ch211-219a15.4	si:ch211-219a15.4 [Source:ZFIN;Acc:ZDB-GENE-060503-308]	112	412	160	243	130	190	9	13	7	8	7	14	116.51961070526875	465.8290500990346	217.09046358906107	181.98615179375383	128.87286805453152	249.9503242606238	11.260552114843557	13.307699362351922	4.971118037887079	8.914673102654662	5.113805895941242	11.266702888312336
ENSDARG00000041065	7.424146240214895e-29	6.722829568594596e-26	1.4341036140946521	5	3568016	3584815	-1	protein_coding	hspb1	heat shock protein, alpha-crystallin-related, 1 [Source:NCBI gene;Acc:368243]	993	1017	734	1385	1147	676	315	248	547	467	565	426	1033.0711913422488	1149.874135802714	995.9025017148176	1037.2461738039055	1137.0552281426744	889.296943158851	394.11932401952447	253.8699570664059	388.4573666748903	520.3940423674659	412.75719017240027	342.82967360150394
ENSDARG00000009341	5.7963806815357725e-28	5.0678355924255e-25	1.2890115437040952	12	30586599	30618440	1	protein_coding	nrap	nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224]	1602	2178	1524	3006	2168	1723	813	697	1023	826	1089	1360	1666.6465745521475	2462.562308533246	2067.786665685807	2251.236099967177	2149.20290724788	2266.6547826371307	1017.2032077075346	713.4974196584069	726.4933932512117	920.4399978490939	795.5620886685733	1094.4797091503413
ENSDARG00000077982	2.8578357444979486e-27	2.337994661309397e-24	1.6492390307473188	22	661505	665371	1	protein_coding	elf3	E74-like factor 3 (ets domain transcription factor, epithelial-specific ) [Source:ZFIN;Acc:ZDB-GENE-030131-8760]	788	987	552	1073	787	700	269	250	263	343	375	280	819.7986896049265	1115.9545447760852	748.9620993822607	803.5849418711846	780.1765166070486	920.8696156970351	336.56539098810185	255.91729542984467	186.77200628061453	382.21660927631865	273.95388728256654	225.3340577662467
ENSDARG00000076914	2.8585223624764865e-27	2.337994661309397e-24	2.0184406986726158	9	18572970	18587754	1	protein_coding	lacc1	laccase (multicopper oxidoreductase) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-155]	71	68	77	155	99	72	20	18	29	22	40	27	73.8651103578043	76.88440632702512	104.47478560223564	116.08170176144792	98.14164567229709	94.71801761455218	25.023449144096794	18.426045270948816	20.59463187124647	24.51535103230032	29.221747976807098	21.72864128460236
ENSDARG00000028731	1.2216211854517288e-26	9.679439111602682e-24	1.530262868926599	9	41156287	41208343	1	protein_coding	stat4	signal transducer and activator of transcription 4 [Source:ZFIN;Acc:ZDB-GENE-030616-264]	319	439	227	358	316	218	96	122	150	107	142	150	331.87281977661365	496.3566820230004	307.99709521698037	268.11128535869904	313.26020234793816	286.7851088885052	120.11255589166461	124.8876401697642	106.52395795472312	119.23375274800611	103.7372053176652	120.71467380334644
ENSDARG00000054160	1.8612317185899962e-26	1.4300463704499806e-23	3.9376012714254833	10	40786196	40819136	-1	protein_coding	zgc:113625	zgc:113625 [Source:ZFIN;Acc:ZDB-GENE-050320-47]	106	121	60	79	71	48	11	5	2	8	7	3	110.27748870320077	136.80901714073588	81.4089238458979	59.16422218809281	70.38441255285953	63.145345076368116	13.762897029253237	5.118345908596893	1.4203194393963083	8.914673102654662	5.113805895941242	2.414293476066929
ENSDARG00000101040	3.701303883399767e-24	2.7166458617036286e-21	5.027252622923815	2	45191049	45193014	1	protein_coding	ccl20a.3	chemokine (C-C motif) ligand 20a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081022-193]	36	46	43	67	41	43	2	0	1	3	2	2	37.45273201240781	52.010039574164054	58.34306208956016	50.177251729142	40.644519924890716	56.56770496424644	2.5023449144096794	0	0.7101597196981542	3.343002413495498	1.461087398840355	1.6095289840446194
ENSDARG00000103199	3.750053447431552e-24	2.7166458617036286e-21	2.52383906616326	16	23339062	23346095	-1	protein_coding	si:dkey-247k7.2	si:dkey-247k7.2 [Source:ZFIN;Acc:ZDB-GENE-031118-45]	2472	1985	1449	3195	1856	1646	338	485	215	361	427	631	2571.754264852003	2244.346272928601	1966.0255108784343	2392.7808846956523	1839.9080239170041	2165.3591249104566	422.8962905352358	496.47955313389866	152.68433973510315	402.27462375729164	311.9421596524158	507.8063944660774
ENSDARG00000075263	2.076757467881522e-22	1.462671822170444e-19	2.3177095143211166	17	23462972	23472265	1	protein_coding	ankrd1a	ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-100405-1]	139	253	108	499	179	245	47	51	59	41	55	67	144.60915971457462	286.0552176579023	146.53606292261622	373.70818825137104	177.44802601354726	322.3043654939623	58.80510548862746	52.20712826768831	41.899423462191095	45.68769965110514	40.179903468109764	53.919220965494745
ENSDARG00000055618	4.0425554658586804e-22	2.7702430766715366e-19	-1.285778000105624	13	24279021	24284442	1	protein_coding	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]	8896	4833	5169	10543	5373	4434	16337	16724	23423	14933	19557	17816	9254.986221732775	5464.446114389889	7013.378789324104	7895.802462393196	5326.414769669214	5833.051251429505	20440.404433355467	17119.843395074888	16634.071114489863	16640.35168024276	14287.243129560411	14337.68418986947
ENSDARG00000093494	7.686405249008415e-22	5.128652765489693e-19	1.5412925761609935	1	52398205	52400660	1	protein_coding	si:ch211-217k17.9	si:ch211-217k17.9 [Source:ZFIN;Acc:ZDB-GENE-061207-21]	369	637	479	675	626	434	128	164	240	198	252	348	383.89050312718007	720.22598279875	649.9145753697516	505.51708831598285	620.5724261702826	570.9391617321618	160.15007452221948	167.8817458019781	170.438332727557	220.63815929070287	184.0970122538847	280.0580432237638
ENSDARG00000096874	1.2486373698488454e-21	8.117743721158326e-19	0.8817406598821081	7	66565572	66576522	1	protein_coding	tmem176l.3b	transmembrane protein 176l.3b [Source:ZFIN;Acc:ZDB-GENE-080829-14]	593	600	502	755	572	488	244	356	495	370	397	388	616.9297245377176	678.3918205325746	681.1213295106791	565.4302247089882	567.0406194399387	641.9776749430758	305.2860795579809	364.4262286920988	351.52906125058627	412.3036309977781	290.02584866981044	312.24862290465614
ENSDARG00000076146	1.6730802221404847e-21	1.0605237258092998e-18	1.5945035550252233	7	2244859	2249885	1	protein_coding	zgc:172075	zgc:172075 [Source:ZFIN;Acc:ZDB-GENE-080215-3]	160	125	112	173	120	113	33	72	58	48	57	43	166.4565867218125	141.3316292776197	151.96332451234275	129.56215744987412	118.95957051187526	148.65466653394995	41.28869108775971	73.70418108379526	41.18926374249294	53.48803861592797	41.64099086695012	34.604873156959314
ENSDARG00000038583	1.9676956400336967e-21	1.2168517793427897e-18	1.1135958680153004	6	52064304	52072829	1	protein_coding	abraa	actin binding Rho activating protein a [Source:ZFIN;Acc:ZDB-GENE-120730-1]	1084	1273	700	1997	1199	993	511	498	967	421	796	724	1127.7433750402797	1439.3213125632792	949.7707782021422	1495.5816672103967	1188.604375364487	1306.3193262673653	639.349125631673	509.7872524962506	686.7244489481151	469.1346720272016	581.5127847384613	582.6494922241521
ENSDARG00000098736	5.8956869820128004e-21	3.5591700816412985e-18	2.7076493171783063	12	44009628	44018667	-1	protein_coding	si:dkey-201i2.4	si:dkey-201i2.4 [Source:ZFIN;Acc:ZDB-GENE-141215-24]	44	33	29	65	48	28	6	4	8	5	7	14	45.775561348498435	37.311550129291604	39.34764652551732	48.67942331931687	47.583828204750105	36.834784627881405	7.507034743229038	4.094676726877514	5.681277757585233	5.571670689159164	5.113805895941242	11.266702888312336
ENSDARG00000099448	1.0354056217232597e-20	6.105281288091453e-18	0.7312058163252917	16	35905031	35938157	1	protein_coding	sh3d21	SH3 domain containing 21 [Source:ZFIN;Acc:ZDB-GENE-051120-57]	774	685	478	950	643	534	338	431	523	418	597	554	805.2337382667679	774.497328441356	648.5577599723199	711.4684946669388	637.4250319927983	702.4919639745954	422.8962905352358	441.2014173210522	371.4135334021346	465.79166961370606	436.13458855384596	445.83952858035957
ENSDARG00000053773	1.3662600903611254e-20	7.873073770705986e-18	1.004832619005708	17	27434626	27447527	1	protein_coding	vgll2b	vestigial-like family member 2b [Source:ZFIN;Acc:ZDB-GENE-050809-113]	223	266	161	313	232	211	115	106	185	105	160	157	231.99886774352615	300.75370710277474	218.4472789864927	234.41014613763355	229.98850298962552	277.57641273153484	143.88483257855657	108.50893326225413	131.37954814415852	117.00508447234243	116.88699190722839	126.34802524750262
ENSDARG00000099197	1.5019119846803006e-20	8.46243963812645e-18	-0.5137110753908106	17	117024	125091	-1	protein_coding	actc1b	actin alpha cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]	206084	174474	149463	263142	209883	153064	233386	252423	411210	242224	426059	397097	214400.24511236252	197269.55749266737	202793.69974632395	197070.78170910277	208063.26281453262	201359.98122435855	292006.1350972087	258397.64585715072	292024.77833707794	269918.47220217786	311254.7180312614	319569.5654885831
ENSDARG00000004748	2.44148693078705e-20	1.3457369810892532e-17	1.3735034929947716	3	39472342	39488639	-1	protein_coding	zgc:100868	zgc:100868 [Source:ZFIN;Acc:ZDB-GENE-040801-33]	2304	2294	3084	4214	2661	1946	836	1447	1319	1017	1184	1621	2396.9748487940997	2593.718060502877	4184.418685679152	3155.924459501558	2637.928476100834	2560.0175316377577	1045.980174223246	1481.249305947941	936.7006702818653	1133.2778181749738	864.9637401134901	1304.523241568164
ENSDARG00000029290	5.797499273625505e-20	3.127565831548398e-17	0.9620252206408917	20	26538137	26541177	1	protein_coding	stx11b.1	syntaxin 11b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1893]	362	336	262	469	386	248	127	156	333	147	247	258	376.60802745810076	379.8994194982418	355.4856341270875	351.24076210399403	382.6532851465321	326.2509495612353	158.89890206501462	159.69239234822308	236.4831866594853	163.8071182612794	180.44429375678385	207.6292389417559
ENSDARG00000043701	1.0144204691216197e-19	5.358464790537222e-17	1.8118339482823203	8	7033049	7052493	1	protein_coding	gpd1a	glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]	360	268	251	474	344	271	57	73	104	117	232	85	374.52732012407813	303.01501317121665	340.56066475533953	354.9853331285569	341.0174354673758	356.508094076995	71.31683006067585	74.72785026551465	73.85661084860803	130.37709412632444	169.48613826548117	68.40498182189633
ENSDARG00000071113	2.823173711629636e-19	1.4608483562932534e-16	0.9832467386008744	6	10170241	10233650	-1	protein_coding	xirp2a	xin actin binding repeat containing 2a [Source:ZFIN;Acc:ZDB-GENE-040108-7]	3388	4388	2885	6094	4243	3398	2077	1970	2410	2105	2534	3050	3524.7182238343794	4961.305514161562	3914.4124215902575	4563.883164737184	4206.212147349056	4470.164220197893	2598.685193614452	2016.628287987176	1711.4849244725515	2345.673360136008	1851.1977343307296	2454.5317006680443
ENSDARG00000031588	4.05171385096226e-19	2.0546240938229622e-16	3.029488656755237	12	38929663	38974869	1	protein_coding	si:dkey-239b22.1	si:dkey-239b22.1 [Source:ZFIN;Acc:ZDB-GENE-131119-12]	5318	5047	2993	6523	4290	4065	659	609	244	800	503	957	5532.6008011662425	5706.405863713174	4060.9484845128736	4885.167358644676	4252.804645799541	5347.621411154925	824.5226492979893	623.4145316671016	173.27897160634961	891.4673102654662	367.4634808083493	770.1596188653504
ENSDARG00000058656	6.445540854934433e-19	3.20444487013456e-16	0.8923843749365558	9	7515864	7539326	-1	protein_coding	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]	6620	5516	5644	6698	6247	3930	2622	3757	4692	3078	4309	3706	6887.141275614992	6236.682136762803	7657.866103104129	5016.227344504375	6192.836974897373	5170.02512812764	3280.5741827910897	3845.9251157197054	3332.069404823739	3429.920476246381	3147.9128008015446	2982.4572074346797
ENSDARG00000091860	6.777899903229046e-19	3.3048779239687017e-16	2.5445922574723103	8	42712747	42724810	1	protein_coding	zgc:194007	zgc:194007 [Source:ZFIN;Acc:ZDB-GENE-081022-49]	80	99	57	87	62	38	22	11	15	11	16	8	83.22829336090625	111.93465038787481	77.33847765360301	65.15553582739335	61.462444764468884	49.99006485212476	27.525794058506474	11.260360998913166	10.652395795472312	12.25767551615016	11.68869919072284	6.438115936178478
ENSDARG00000070041	7.967713175833457e-19	3.811723916476553e-16	3.6546961323672544	12	30528623	30540755	-1	protein_coding	zgc:153920	zgc:153920 [Source:ZFIN;Acc:ZDB-GENE-061013-702]	39	92	29	88	44	36	7	2	1	8	5	6	40.573793013441794	104.02007914832811	39.34764652551732	65.90445003230592	43.61850918768759	47.35900880727609	8.758207200433878	2.047338363438757	0.7101597196981542	8.914673102654662	3.6527184971008873	4.828586952133858
ENSDARG00000035178	8.698289512086209e-19	4.084169084795293e-16	1.4591873055412	5	55543580	55560937	-1	protein_coding	gna14	guanine nucleotide binding protein (G protein), alpha 14 [Source:ZFIN;Acc:ZDB-GENE-040808-7]	382	459	233	396	274	269	92	115	177	164	148	168	397.41510079832733	518.9697427074195	316.13798760157016	296.57002514537663	271.62435266878185	353.87703803214634	115.10786606284525	117.72195589772855	125.69827038657328	182.75079860442057	108.12046751418626	135.20043465974803
ENSDARG00000036767	1.1490701143847509e-18	5.297213227313702e-16	3.3941935808206334	19	7682109	7690975	-1	protein_coding	urgcp	upregulator of cell proliferation [Source:ZFIN;Acc:ZDB-GENE-120215-160]	541	634	341	737	382	387	76	25	42	71	24	72	562.8313338531285	716.8340236960871	462.6740505241864	551.949769020562	378.6879661294696	509.10934467821795	95.08910674756781	25.591729542984467	29.826708227322474	79.11772378606013	17.533048786084258	57.9430434256063
