Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count
ENSDARG00000030915	3.7258788438157927e-7	7.107621968966418e-4	1.2227214920967504	25	18448186	18454016	-1	protein_coding	cpa1	carboxypeptidase A1 (pancreatic) [Source:ZFIN;Acc:ZDB-GENE-050522-438]	153	261	107	97	453	390	478	178	331	180	151	79	167.5607034269863	202.93539886746288	102.91928446503263	128.06142609986668	400.96510498107824	363.4870709150992	465.5616767426037	188.04392407982652	421.57135617102017	125.89234147247839	140.32903163809212	97.43593218409335
ENSDARG00000062025	4.5846672508103816e-7	8.017054799250421e-4	0.595956420370887	8	18601252	18613948	-1	protein_coding	cpox	coproporphyrinogen oxidase [Source:ZFIN;Acc:ZDB-GENE-030131-9884]	257	495	322	259	422	376	296	270	226	307	258	197	281.4581750374868	384.8774806107055	309.7197158667337	341.93720989552025	373.52599183667775	350.4388170873777	288.29760735525247	285.2351657390627	287.8402613131437	214.7163824002826	239.76748452071368	242.97314734514416
ENSDARG00000027279	8.727747080023001e-7	0.0014087926517477127	0.6126945573035575	17	51821906	51893123	-1	protein_coding	numb	NUMB endocytic adaptor protein [Source:ZFIN;Acc:ZDB-GENE-060422-1]	197	556	199	202	557	468	245	302	161	379	328	244	215.74809526219804	432.30682670616613	191.41063185552798	266.68461930075324	493.0189039171315	436.18448509811907	238.62470879066507	319.0408150118405	205.05434544874396	265.07331898927396	304.8206779953259	300.9413601635288
ENSDARG00000041787	1.223153741724043e-6	0.001732120757961902	0.4904508881492297	20	40753518	40755614	-1	protein_coding	cx32.3	connexin 32.3 [Source:ZFIN;Acc:ZDB-GENE-030131-1337]	548	1211	557	522	916	889	897	525	652	879	709	504	600.1520619476372	941.5891495344734	535.7573967011512	689.1553033415505	810.7815367829309	828.5641180603159	873.6586276948024	554.6239333815108	830.4064175936712	614.7742675239361	658.8959167642869	621.6165800099119
ENSDARG00000060879	1.2381724823402845e-6	0.001732120757961902	0.5871857440275432	18	26829086	26850069	1	protein_coding	slc28a1	solute carrier family 28 member 1 [Source:ZFIN;Acc:ZDB-GENE-050419-117]	284	728	350	275	696	562	509	397	367	511	462	248	311.0277109363667	566.042032090088	336.6518650725366	363.06074409756013	616.0523467258951	523.7941893699635	495.755007242647	419.4013362903996	467.4220172651493	357.3943694024248	429.3510769324408	305.8748250842424
ENSDARG00000056873	1.3982711967517722e-6	0.0018338326745399492	0.43780408057846926	10	22848556	22854758	-1	protein_coding	and3	actinodin3 [Source:ZFIN;Acc:ZDB-GENE-040724-185]	1177	1948	1475	1059	1850	1738	1471	998	1114	1692	1472	880	1289.0127315919142	1514.6289539993015	1418.747145662833	1398.1139199975134	1637.4954618432555	1619.8475108985704	1432.7222311472176	1054.3136866947577	1418.8232349683278	1183.388009841297	1367.9757256375603	1085.3622825569892
ENSDARG00000105274	1.5623342073152847e-6	0.0018881406405841963	0.4443023588700324	KN150214.1	2983	23863	1	protein_coding	CABZ01074130.1	NA	1467	3150	1743	1517	3329	2650	2310	1792	1638	2785	2176	1493	1606.61145050581	2449.2203311590347	1676.5262880612324	2002.7750865309044	2946.606698635783	2469.8480459615716	2249.890111454842	1893.116359275557	2086.2050797828733	1947.8342833380686	2022.224985725089	1841.4157816563463
ENSDARG00000017780	1.6196402749959747e-6	0.0018881406405841963	-0.7813186865733835	2	49417900	49454451	1	protein_coding	rorcb	RAR-related orphan receptor C b [Source:ZFIN;Acc:ZDB-GENE-040724-215]	298	307	372	388	341	256	316	392	217	571	468	438	326.3600628839341	238.7017910050234	357.81283944852464	512.2457043994667	301.8302445884055	238.59664142119334	307.7771754197966	414.11920359152805	276.37759603961143	399.35848322658427	434.9270649445504	540.2144088181377
ENSDARG00000104693	2.2796560433954135e-6	0.002517700127084703	-0.34896772543656973	10	5788620	5821584	-1	protein_coding	il6st	interleukin 6 signal transducer [Source:ZFIN;Acc:ZDB-GENE-080104-6]	1364	1464	1317	984	1385	1336	1256	1476	984	2239	1592	1233	1493.809146891564	1138.3043062910563	1266.7728751443735	1299.0973534254515	1225.9087646772482	1245.1762224168526	1223.3168744533687	1559.285572706876	1253.2514032395284	1565.9608475382174	1479.4954858797528	1520.740561809963
ENSDARG00000104450	5.127214601250527e-6	0.005379473559632053	0.3783407778988182	10	17026870	17062546	1	protein_coding	CR855996.2	ATPase phospholipid transporting 8B5b [Source:NCBI gene;Acc:563450]	640	1297	841	541	1097	1012	831	744	704	1060	839	559	700.90751760308	1008.4567522264343	808.9263386457237	714.2395002064728	970.9905522389466	943.2023481181549	809.3760530818068	785.9813455920839	896.635150285191	741.3660108934839	779.7089903599953	689.4517226697237
ENSDARG00000002600	6.162109882165863e-6	0.00615741494130326	-0.44003049705274455	21	11684830	11722343	1	protein_coding	pcsk1	proprotein convertase subtilisin/kexin type 1 [Source:ZFIN;Acc:ZDB-GENE-071009-1]	388	458	463	283	428	401	377	430	308	713	569	424	424.92518254686723	356.10886084788507	445.3423243673842	373.62251119858007	378.83678792914236	373.7392703511661	367.18985801665605	454.2634121029517	392.27787824977105	498.6735526104283	528.7895298150623	522.9472815956402
ENSDARG00000024204	8.179492818957291e-6	0.007490884517343788	0.3921873972671494	20	34770197	34783743	1	protein_coding	mcm3	minichromosome maintenance complex component 3 [Source:ZFIN;Acc:ZDB-GENE-020419-4]	779	1208	996	709	1220	1195	897	813	647	1161	827	599	853.1358690824989	939.2565587428934	958.0150217492757	936.0366093278914	1079.8618721344712	1113.761666009086	873.6586276948024	858.874776836511	824.0382702194867	812.0056024974857	768.5570143357761	738.7863718768597
ENSDARG00000012609	8.210557753474416e-6	0.007490884517343788	1.7425831616341634	9	32840114	32847642	-1	protein_coding	hpxa	hemopexin a [Source:NCBI gene;Acc:327588]	65	168	38	9	130	76	127	36	122	52	20	27	71.18591975656281	130.62508432848185	36.55077392216112	11.881987988647422	115.0672486700666	70.83337792191676	123.69525720985496	38.03135543187503	155.38279593010412	36.36889864760487	18.586626707032067	33.30088821481671
ENSDARG00000034503	8.990643175645657e-6	0.007860819016572854	-0.4742525997799932	2	48309600	48375342	-1	protein_coding	per2	period circadian clock 2 [Source:ZFIN;Acc:ZDB-GENE-011220-2]	1880	2665	3010	1565	2640	2422	2718	2890	2211	4495	3352	2459	2058.9158329590473	2072.1181531869297	2895.2060396238153	2066.145689137024	2336.7502806844295	2257.347912195821	2647.2732999715413	3053.072699947745	2815.994768864428	3143.8115273266135	3115.118636098575	3032.8475600086776
ENSDARG00000057738	1.0677151244175512e-5	0.008961973668311158	0.48242114334429287	13	8255106	8270718	1	protein_coding	hells	helicase, lymphoid specific [Source:ZFIN;Acc:ZDB-GENE-030131-9923]	271	520	366	257	461	510	364	298	251	469	323	228	296.79052698505416	404.31573720720576	352.0416646187097	339.2967681202653	408.04616643769776	475.3292465812836	354.52813877470237	314.81510885274326	319.68099818406665	328.01948972551315	300.1740213185679	281.20750048067447
ENSDARG00000055226	1.3003497341780329e-5	0.010494822623843016	0.42584053083397994	7	19562045	19587542	1	protein_coding	slc7a7	solute carrier family 7 member 7 [Source:ZFIN;Acc:ZDB-GENE-051127-5]	321	787	388	262	708	576	521	400	474	665	483	343	351.54892679779476	611.9163176578287	373.20263899469774	345.89787255840275	626.6739389108243	536.842443197685	507.44274808137345	422.5706159097225	603.7003710726996	465.10226155110075	448.8670349748245	423.04461695119005
ENSDARG00000057683	1.4268662746271133e-5	0.01108263644955805	0.4071894940651635	6	12968101	12985390	1	protein_coding	mcm6	minichromosome maintenance complex component 6 [Source:ZFIN;Acc:ZDB-GENE-030909-6]	1010	1772	1277	894	1581	1557	1206	1068	787	1699	1029	788	1106.1196762173606	1377.7836275599395	1228.2983762789409	1180.2774735389773	1399.3947703644255	1451.1522292687423	1174.6179542920086	1128.2635444789591	1002.3463966966552	1188.2838231207822	956.2819440768	971.8925893805766
ENSDARG00000069074	1.4788115735208988e-5	0.01108263644955805	-0.2937201204449866	8	21225064	21252659	1	protein_coding	cry3a	cryptochrome circadian regulator 3a [Source:ZFIN;Acc:ZDB-GENE-010426-4]	2108	2654	2658	1764	2439	2145	2100	2395	1674	3462	2666	2229	2308.6141361051446	2063.565320284469	2556.630449608007	2328.8696457748947	2158.8386115868652	1999.1788900330457	2045.3546467771291	2530.141562759464	2132.0557408770023	2421.329367654001	2477.597340047375	2749.1733270676464
ENSDARG00000030270	2.10433956934438e-5	0.01522671087004223	0.34933393398431173	25	31405266	31418457	1	protein_coding	tnnt3a	troponin T type 3a (skeletal, fast) [Source:ZFIN;Acc:ZDB-GENE-000322-3]	2907	4566	3668	2898	3350	3292	2951	2424	2394	3541	2599	2094	3183.6533651127397	3550.2031847848107	3528.111545960184	3826.00013234447	2965.194484959409	3068.203685775658	2874.21026792348	2560.7779324129183	3049.0689627595843	2476.582117522478	2415.3321405788174	2582.6688859935625
ENSDARG00000102773	2.3829688907908328e-5	0.016355293950932673	-0.45063793372202937	11	36793473	36963988	-1	protein_coding	cacna1da	calcium channel, voltage-dependent, L type, alpha 1D subunit, a [Source:ZFIN;Acc:ZDB-GENE-030616-135]	452	468	500	294	455	438	433	496	324	703	631	437	495.0159343071752	363.8841634864852	480.9312358179095	388.14494096248245	402.73537034523315	408.22394118157297	421.73264859737947	523.987563728056	412.65594984716176	491.6795336397351	586.4080726068618	538.9810425879593
ENSDARG00000000068	2.416193826148079e-5	0.016355293950932673	0.37264883355354916	12	33484458	33537126	1	protein_coding	slc9a3r1a	SLC9A3 regulator 1a [Source:ZFIN;Acc:ZDB-GENE-031006-7]	645	1259	760	589	988	896	878	666	559	992	751	547	706.383357584354	978.910602199754	731.0154784432224	777.6101028125925	874.5110898925062	835.0882449741766	855.1530380334855	703.580075489688	711.9588764338378	693.8066818927698	697.9278328490542	674.651327907583
ENSDARG00000077688	2.6207876199298387e-5	0.017018806260564224	0.6354785389381192	1	5576151	5587575	1	protein_coding	cpo	carboxypeptidase O [Source:NCBI gene;Acc:100005630]	315	791	376	397	633	507	508	316	400	450	449	284	344.9779188202659	615.0264387132687	361.66028933506794	524.127692388114	560.2889877550166	472.533192189629	494.78102883941983	333.8307865686808	509.4517899347676	314.730853681196	417.26976957286996	350.27600937066467
ENSDARG00000109310	2.6764230203899132e-5	0.017018806260564224	0.7260944248644914	14	3363368	3381303	-1	protein_coding	im:7150988	im:7150988 [Source:ZFIN;Acc:ZDB-GENE-050309-169]	481	787	419	585	817	644	574	369	351	536	389	353	526.7758061985647	611.9163176578287	403.02037561540817	772.3292192620825	723.1534012572647	600.2196760751895	559.0636034524154	389.821393176719	447.0439456677586	374.8794168291579	361.50988945177374	435.37827925297404
ENSDARG00000079302	3.1227806065296986e-5	0.01927306713159388	0.4627194646495742	2	31762852	31767827	-1	protein_coding	and2	actinodin2 [Source:ZFIN;Acc:ZDB-GENE-041105-2]	3651	7248	4342	3053	7038	6290	6090	3436	3836	7206	5052	3062	3998.45835432632	5635.53935245736	4176.406851842726	4030.6343699267313	6229.563816460991	5862.394041169165	5931.528475653675	3629.8815906645164	4885.642665474422	5039.890070281552	4694.981906196301	3776.5673968062506
ENSDARG00000006923	4.004048735439813e-5	0.024005988189848296	-0.4997223108036817	11	30817943	31026335	1	protein_coding	cacna1ab	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit, b [Source:ZFIN;Acc:ZDB-GENE-090514-3]	367	388	431	224	338	317	304	367	209	608	495	337	401.92665462551616	301.6817423776843	414.56272527503796	295.72947882855806	299.17484654217316	295.44974738483705	296.0894345810701	387.70854009717044	266.1885602409161	425.23635341814924	460.0190109990437	415.6444195701197
ENSDARG00000038025	4.5557962268833095e-5	0.026155025024233187	-0.5017098918738627	3	24986145	24994617	1	protein_coding	cbx7a	chromobox homolog 7a [Source:ZFIN;Acc:ZDB-GENE-050417-400]	728	569	578	612	474	446	608	527	441	903	677	481	797.2823012735034	442.4147201363463	555.9565086055034	807.9751832280248	419.5528913047044	415.68008622598524	592.1788691621402	556.7367864610594	561.6705984030813	631.5599130536	629.1573140330355	593.2491567158088
ENSDARG00000053526	4.611780050975162e-5	0.026155025024233187	0.5420315577817204	12	32413524	32421046	-1	protein_coding	enpp7.1	ectonucleotide pyrophosphatase/phosphodiesterase 7, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-040724-13]	395	1138	354	308	1088	1109	860	774	604	973	657	427	432.5913585206509	884.8294402726926	340.4993149590799	406.62803338926733	963.0243581002497	1033.608106781654	837.6214267753958	817.674141785313	769.2722028014991	680.5180458484526	610.5706873260035	526.6473802861753
ENSDARG00000011583	5.112692357543171e-5	0.02823282537649629	-0.35310561540532687	18	15106518	15129696	1	protein_coding	cry1b	cryptochrome circadian regulator 1b [Source:ZFIN;Acc:ZDB-GENE-010426-3]	688	801	782	692	746	699	864	833	634	1161	854	656	753.4755814233109	622.8017413518688	752.1764528192105	913.592854238224	660.3089808297668	651.4806732555239	841.5173403883045	880.0033076319971	807.4810870466067	812.0056024974857	793.6489603902694	809.08824699702825
ENSDARG00000103518	5.432795727577299e-5	0.028897616338006325	-0.9013909942718	2	54015958	54039293	-1	protein_coding	abhd8a	abhydrolase domain containing 8a [Source:ZFIN;Acc:ZDB-GENE-080204-70]	44	55	71	36	62	55	58	80	31	119	105	86	48.18739183521175	42.76416451230061	68.29223548614314	47.52795195458969	54.878226288800995	51.260997180334506	56.490747387177855	84.5141231819445	39.48251371994449	83.2288257512496	97.57979021191836	106.06949579534212
ENSDARG00000100315	5.508504829966894e-5	0.028897616338006325	0.5199823713182138	9	1137430	1162804	1	protein_coding	slc15a1a	solute carrier family 15 member 1a [Source:ZFIN;Acc:ZDB-GENE-091204-9]	519	1958	609	316	1358	1224	849	898	657	1257	1055	637	568.3921900562476	1522.4042566379017	585.7742452262138	417.18980049028727	1202.0101822611573	1140.7901917950805	826.9076643398965	948.6710327173271	836.7745649678558	879.1481846161408	980.4445587959417	785.6542886236388
ENSDARG00000087440	5.6468718894183104e-5	0.02890096578720825	1.1086904540064837	7	22680560	22684292	1	protein_coding	ponzr4	plac8 onzin related protein 4 [Source:ZFIN;Acc:ZDB-GENE-050411-6]	69	153	148	57	92	122	102	54	96	63	65	26	75.56659174158206	118.96213037058169	142.3556458021012	75.25259059476701	81.43220675112406	113.70621192728744	99.34579712917484	57.04703314781254	122.26842958434423	44.06231951536744	60.40653679785422	32.06752198463831
ENSDARG00000057652	6.350093491784777e-5	0.03172627662657423	0.3596202259011061	16	13599693	13613475	-1	protein_coding	dbpb	D site albumin promoter binding protein b [Source:ZFIN;Acc:ZDB-GENE-100922-6]	2444	3376	2310	1755	3125	2756	3102	1964	2429	2872	2526	1489	2676.5905828467617	2624.9421707913975	2221.9023094787417	2316.9876577862474	2766.039631491986	2568.6419678000343	3021.281006810788	2074.8217241167376	3093.6459943788764	2008.6822483830997	2347.4909530981504	1836.4823167356328
ENSDARG00000102798	6.950402578426015e-5	0.03391796458271895	0.3810951341656985	22	5632029	5655680	-1	protein_coding	mcm2	minichromosome maintenance complex component 2 [Source:ZFIN;Acc:ZDB-GENE-020419-24]	1263	1990	1607	1169	1840	1907	1509	1327	1191	1954	1312	872	1383.197179269828	1547.285225081422	1545.712991918761	1543.3382176365374	1628.6441350224811	1777.35857496178	1469.7334104698514	1401.8780182805044	1516.8927045307705	1366.63130687346	1219.2827119813037	1075.495352715562
ENSDARG00000079166	7.403882155173619e-5	0.03530978707821891	0.5826239291251902	12	5530247	5582060	1	protein_coding	ace	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1826]	928	3046	833	848	2405	1947	1940	1717	1390	1697	1494	1000	1016.315900524466	2368.3571837175937	801.2314388726372	1119.5473127081127	2128.744100396232	1814.6393001838414	1889.5181022607765	1813.8843687924839	1770.3449700233175	1186.8850193266435	1388.4210150152956	1233.3662301783968
ENSDARG00000042535	7.624100600720556e-5	0.035552028223448925	0.2012838522662307	20	29476852	29483514	-1	protein_coding	actc1a	actin alpha cardiac muscle 1a [Source:ZFIN;Acc:ZDB-GENE-040520-4]	2931	4369	3446	2465	3945	3596	3631	2799	2799	4419	3219	2291	3209.9373970228553	3397.0297228043883	3314.578077257032	3254.3444880017664	3491.8484307954827	3351.537197463325	3536.515582117979	2956.9378848282836	3564.8889000685363	3090.656983149345	2991.5175684968117	2825.642033338707
ENSDARG00000078842	8.289489949154772e-5	0.03781449067240516	-0.2515881556482597	6	20764848	20875111	-1	protein_coding	tns1a	tensin 1a [Source:ZFIN;Acc:ZDB-GENE-120215-32]	1146	1523	1279	856	1299	1220	1184	1257	884	1953	1495	1160	1255.062523708015	1184.1785918587968	1230.2221012222124	1130.1090798091327	1149.7873540185885	1137.0621192728745	1153.1904294210099	1327.928160496303	1125.8884557558365	1365.9319049763906	1389.3503463506472	1430.7048270069401
ENSDARG00000053625	9.144740122146795e-5	0.040094857483718695	0.40568701104763316	7	29518396	29534001	-1	protein_coding	anxa2b	annexin A2b [Source:ZFIN;Acc:ZDB-GENE-030131-1089]	744	1212	1020	664	960	1206	805	724	631	1004	755	623	814.8049892135805	942.3666797983334	981.0997210685354	876.6266693846543	849.7273747943381	1124.013865445153	784.0526145978995	764.8528147965977	803.6601986220959	702.1995046576018	701.6451581904606	768.3871614011412
ENSDARG00000078567	9.28288035997511e-5	0.040094857483718695	-0.22904264831342938	8	13700605	13788311	1	protein_coding	lonrf1l	LON peptidase N-terminal domain and ring finger 1, like [Source:ZFIN;Acc:ZDB-GENE-081104-397]	1486	2105	1821	1345	1876	1715	1719	1827	1371	2637	2112	1555	1627.4196424346512	1636.7012054253232	1751.5515608488263	1775.697093858976	1660.508911577269	1598.411093895885	1674.2688751475644	1930.0912881676577	1746.146010001416	1844.3228025718086	1962.7477802625865	1917.884487927407
ENSDARG00000074526	9.362600155843575e-5	0.040094857483718695	-0.4773737761611477	15	18253542	18361475	-1	protein_coding	zbtb16b	zinc finger and BTB domain containing 16b [Source:ZFIN;Acc:ZDB-GENE-100923-1]	194	262	263	184	214	203	191	230	176	400	297	229	212.46259127343362	203.7129291313229	252.9698300402204	242.92064332345842	189.41839396457118	189.1996805019619	186.02987501639603	242.97810414809047	224.15878757129775	279.7607588277298	276.0114065994262	282.44086671085284
ENSDARG00000094466	1.0639435866366654e-4	0.04465158444396757	0.5692575406401487	9	7678136	7684002	-1	protein_coding	si:ch73-199e17.1	si:ch73-199e17.1 [Source:ZFIN;Acc:ZDB-GENE-100921-8]	130	230	179	131	195	181	193	98	177	171	143	89	142.37183951312562	178.83196068780254	172.17338242281159	172.94893627920138	172.6008730050999	168.6952816298281	187.97783182285045	103.52980089788201	225.43241704613467	119.59772439885448	132.8943809552793	109.7695944858773
ENSDARG00000057231	1.1920988218672382e-4	0.04902692766170872	-0.383366497402607	8	18885108	18899427	-1	protein_coding	rorca	RAR-related orphan receptor C a [Source:ZFIN;Acc:ZDB-GENE-990415-250]	422	469	465	308	473	429	436	463	283	722	600	408	462.16089441953085	364.6616937503452	447.26604931065583	406.62803338926733	418.667758622627	399.83577800660913	424.6545838070611	489.1254879155038	360.4371413788481	504.96816968405227	557.598801210962	503.21342191278586
ENSDARG00000104981	1.2149257712585081e-4	0.04902692766170872	-1.0326564967398548	19	1510971	1562840	1	protein_coding	SLC45A4	solute carrier family 45 member 4-like [Source:NCBI gene;Acc:100329687]	51	39	62	23	30	30	36	54	27	91	59	45	55.853567808995436	30.32368029054043	59.635473241420776	30.365080415432303	26.553980462323064	27.960543916546094	35.06322251617936	57.04703314781254	34.387995820596814	63.645572633308525	54.830548785744604	55.501480358027855
